wavelength,foliage
3.8e-07,0.051
3.9e-07,0.054
4e-07,0.056
4.1e-07,0.057
4.2e-07,0.058
4.3e-07,0.059
4.4e-07,0.06
4.5e-07,0.061
4.6e-07,0.062
4.7e-07,0.063
4.8e-07,0.065
4.9e-07,0.067
5e-07,0.075
5.1e-07,0.101
5.2e-07,0.145
5.3e-07,0.178
5.4e-07,0.184
5.5e-07,0.17
5.6e-07,0.149
5.7e-07,0.133
5.8e-07,0.122
5.9e-07,0.115
6e-07,0.109
6.1e-07,0.105
6.2e-07,0.104
6.3e-07,0.106
6.4e-07,0.109
6.5e-07,0.112
6.6e-07,0.114
6.7e-07,0.114
6.8e-07,0.112
6.9e-07,0.112
7e-07,0.115
7.1e-07,0.12
7.2e-07,0.125
7.3e-07,0.13
