wavelength,yellow
3.8e-07,0.058
3.9e-07,0.054
4e-07,0.052
4.1e-07,0.052
4.2e-07,0.053
4.3e-07,0.054
4.4e-07,0.056
4.5e-07,0.059
4.6e-07,0.067
4.7e-07,0.081
4.8e-07,0.107
4.9e-07,0.152
5e-07,0.225
5.1e-07,0.336
5.2e-07,0.462
5.3e-07,0.559
5.4e-07,0.616
5.5e-07,0.65
5.6e-07,0.672
5.7e-07,0.694
5.8e-07,0.71
5.9e-07,0.723
6e-07,0.731
6.1e-07,0.739
6.2e-07,0.746
6.3e-07,0.752
6.4e-07,0.758
6.5e-07,0.764
6.6e-07,0.769
6.7e-07,0.771
6.8e-07,0.776
6.9e-07,0.782
7e-07,0.79
7.1e-07,0.796
7.2e-07,0.799
7.3e-07,0.804
