wavelength,blue
3.8e-07,0.069
3.85e-07,0.081
3.9e-07,0.096
3.95e-07,0.114
4e-07,0.136
4.05e-07,0.156
4.1e-07,0.175
4.15e-07,0.193
4.2e-07,0.208
4.25e-07,0.224
4.3e-07,0.244
4.35e-07,0.265
4.4e-07,0.29
4.45e-07,0.316
4.5e-07,0.335
4.55e-07,0.342
4.6e-07,0.338
4.65e-07,0.324
4.7e-07,0.302
4.75e-07,0.273
4.8e-07,0.239
4.85e-07,0.205
4.9e-07,0.172
4.95e-07,0.144
5e-07,0.12
5.05e-07,0.101
5.1e-07,0.086
5.15e-07,0.074
5.2e-07,0.066
5.25e-07,0.059
5.3e-07,0.054
5.35e-07,0.051
5.4e-07,0.048
5.45e-07,0.046
5.5e-07,0.045
5.55e-07,0.044
5.6e-07,0.043
5.65e-07,0.042
5.7e-07,0.041
5.75e-07,0.041
5.8e-07,0.04
5.85e-07,0.04
5.9e-07,0.04
5.95e-07,0.04
6e-07,0.039
6.05e-07,0.039
6.1e-07,0.04
6.15e-07,0.04
6.2e-07,0.04
6.25e-07,0.04
6.3e-07,0.041
6.35e-07,0.041
6.4e-07,0.042
6.45e-07,0.042
6.5e-07,0.042
6.55e-07,0.043
6.6e-07,0.043
6.65e-07,0.043
6.7e-07,0.044
6.75e-07,0.044
6.8e-07,0.044
6.85e-07,0.044
6.9e-07,0.045
6.95e-07,0.046
7e-07,0.048
7.05e-07,0.05
7.1e-07,0.051
7.15e-07,0.053
7.2e-07,0.056
7.25e-07,0.06
7.3e-07,0.064
7.35e-07,0.07
7.4e-07,0.079
7.45e-07,0.091
7.5e-07,0.104
7.55e-07,0.12
7.6e-07,0.138
7.65e-07,0.154
7.7e-07,0.168
7.75e-07,0.186
7.8e-07,0.204
