wavelength,cyan
3.8e-07,0.093
3.85e-07,0.11
3.9e-07,0.134
3.95e-07,0.164
4e-07,0.195
4.05e-07,0.22
4.1e-07,0.238
4.15e-07,0.249
4.2e-07,0.258
4.25e-07,0.27
4.3e-07,0.281
4.35e-07,0.296
4.4e-07,0.315
4.45e-07,0.334
4.5e-07,0.352
4.55e-07,0.37
4.6e-07,0.391
4.65e-07,0.414
4.7e-07,0.434
4.75e-07,0.449
4.8e-07,0.458
4.85e-07,0.461
4.9e-07,0.457
4.95e-07,0.447
5e-07,0.433
5.05e-07,0.414
5.1e-07,0.392
5.15e-07,0.366
5.2e-07,0.339
5.25e-07,0.31
5.3e-07,0.282
5.35e-07,0.255
5.4e-07,0.228
5.45e-07,0.204
5.5e-07,0.18
5.55e-07,0.159
5.6e-07,0.141
5.65e-07,0.126
5.7e-07,0.114
5.75e-07,0.104
5.8e-07,0.097
5.85e-07,0.092
5.9e-07,0.088
5.95e-07,0.083
6e-07,0.08
6.05e-07,0.077
6.1e-07,0.075
6.15e-07,0.074
6.2e-07,0.073
6.25e-07,0.073
6.3e-07,0.073
6.35e-07,0.073
6.4e-07,0.073
6.45e-07,0.073
6.5e-07,0.074
6.55e-07,0.075
6.6e-07,0.076
6.65e-07,0.076
6.7e-07,0.077
6.75e-07,0.076
6.8e-07,0.075
6.85e-07,0.074
6.9e-07,0.074
6.95e-07,0.073
7e-07,0.072
7.05e-07,0.072
7.1e-07,0.071
7.15e-07,0.073
7.2e-07,0.075
7.25e-07,0.078
7.3e-07,0.082
7.35e-07,0.09
7.4e-07,0.1
7.45e-07,0.116
7.5e-07,0.133
7.55e-07,0.154
7.6e-07,0.176
7.65e-07,0.191
7.7e-07,0.2
7.75e-07,0.208
7.8e-07,0.214
