wavelength,y_bar
3.6e-07,3.917e-06
3.61e-07,4.393581e-06
3.62e-07,4.929604e-06
3.63e-07,5.532136e-06
3.64e-07,6.208245e-06
3.65e-07,6.965e-06
3.66e-07,7.813219e-06
3.67e-07,8.767336e-06
3.68e-07,9.839844e-06
3.69e-07,1.104323e-05
3.7e-07,1.239e-05
3.71e-07,1.388641e-05
3.72e-07,1.555728e-05
3.73e-07,1.744296e-05
3.74e-07,1.958375e-05
3.75e-07,2.202e-05
3.76e-07,2.483965e-05
3.77e-07,2.804126e-05
3.78e-07,3.153104e-05
3.79e-07,3.521521e-05
3.8e-07,3.9e-05
3.81e-07,4.28264e-05
3.82e-07,4.69146e-05
3.83e-07,5.15896e-05
3.84e-07,5.71764e-05
3.85e-07,6.4e-05
3.86e-07,7.234421e-05
3.87e-07,8.221224e-05
3.88e-07,9.350816e-05
3.89e-07,0.0001061361
3.9e-07,0.00012
3.91e-07,0.000134984
3.92e-07,0.000151492
3.93e-07,0.000170208
3.94e-07,0.000191816
3.95e-07,0.000217
3.96e-07,0.0002469067
3.97e-07,0.00028124
3.98e-07,0.00031852
3.99e-07,0.0003572667
4e-07,0.000396
4.01e-07,0.0004337147
4.02e-07,0.000473024
4.03e-07,0.000517876
4.04e-07,0.0005722187
4.05e-07,0.00064
4.06e-07,0.00072456
4.07e-07,0.0008255
4.08e-07,0.00094116
4.09e-07,0.00106988
4.1e-07,0.00121
4.11e-07,0.001362091
4.12e-07,0.001530752
4.13e-07,0.001720368
4.14e-07,0.001935323
4.15e-07,0.00218
4.16e-07,0.0024548
4.17e-07,0.002764
4.18e-07,0.0031178
4.19e-07,0.0035264
4.2e-07,0.004
4.21e-07,0.00454624
4.22e-07,0.00515932
4.23e-07,0.00582928
4.24e-07,0.00654616
4.25e-07,0.0073
4.26e-07,0.008086507
4.27e-07,0.00890872
4.28e-07,0.00976768
4.29e-07,0.01066443
4.3e-07,0.0116
4.31e-07,0.01257317
4.32e-07,0.01358272
4.33e-07,0.01462968
4.34e-07,0.01571509
4.35e-07,0.01684
4.36e-07,0.01800736
4.37e-07,0.01921448
4.38e-07,0.02045392
4.39e-07,0.02171824
4.4e-07,0.023
4.41e-07,0.02429461
4.42e-07,0.02561024
4.43e-07,0.02695857
4.44e-07,0.02835125
4.45e-07,0.0298
4.46e-07,0.03131083
4.47e-07,0.03288368
4.48e-07,0.03452112
4.49e-07,0.03622571
4.5e-07,0.038
4.51e-07,0.03984667
4.52e-07,0.041768
4.53e-07,0.043766
4.54e-07,0.04584267
4.55e-07,0.048
4.56e-07,0.05024368
4.57e-07,0.05257304
4.58e-07,0.05498056
4.59e-07,0.05745872
4.6e-07,0.06
4.61e-07,0.06260197
4.62e-07,0.06527752
4.63e-07,0.06804208
4.64e-07,0.07091109
4.65e-07,0.0739
4.66e-07,0.077016
4.67e-07,0.0802664
4.68e-07,0.0836668
4.69e-07,0.0872328
4.7e-07,0.09098
4.71e-07,0.09491755
4.72e-07,0.09904584
4.73e-07,0.1033674
4.74e-07,0.1078846
4.75e-07,0.1126
4.76e-07,0.117532
4.77e-07,0.1226744
4.78e-07,0.1279928
4.79e-07,0.1334528
4.8e-07,0.13902
4.81e-07,0.1446764
4.82e-07,0.1504693
4.83e-07,0.1564619
4.84e-07,0.1627177
4.85e-07,0.1693
4.86e-07,0.1762431
4.87e-07,0.1835581
4.88e-07,0.1912735
4.89e-07,0.199418
4.9e-07,0.20802
4.91e-07,0.2171199
4.92e-07,0.2267345
4.93e-07,0.2368571
4.94e-07,0.2474812
4.95e-07,0.2586
4.96e-07,0.2701849
4.97e-07,0.2822939
4.98e-07,0.2950505
4.99e-07,0.308578
5e-07,0.323
5.01e-07,0.3384021
5.02e-07,0.3546858
5.03e-07,0.3716986
5.04e-07,0.3892875
5.05e-07,0.4073
5.06e-07,0.4256299
5.07e-07,0.4443096
5.08e-07,0.4633944
5.09e-07,0.4829395
5.1e-07,0.503
5.11e-07,0.5235693
5.12e-07,0.544512
5.13e-07,0.56569
5.14e-07,0.5869653
5.15e-07,0.6082
5.16e-07,0.6293456
5.17e-07,0.6503068
5.18e-07,0.6708752
5.19e-07,0.6908424
5.2e-07,0.71
5.21e-07,0.7281852
