wavelength,x_bar
3.9e-07,0.00295242
3.91e-07,0.003577275
3.92e-07,0.004332146
3.93e-07,0.005241609
3.94e-07,0.006333902
3.95e-07,0.007641137
3.96e-07,0.009199401
3.97e-07,0.01104869
3.98e-07,0.01323262
3.99e-07,0.01579791
4e-07,0.01879338
4.01e-07,0.02226949
4.02e-07,0.02627978
4.03e-07,0.03087862
4.04e-07,0.0361189
4.05e-07,0.04204986
4.06e-07,0.04871256
4.07e-07,0.05612868
4.08e-07,0.06429866
4.09e-07,0.07319818
4.1e-07,0.08277331
4.11e-07,0.09295327
4.12e-07,0.1037137
4.13e-07,0.115052
4.14e-07,0.1269771
4.15e-07,0.1395127
4.16e-07,0.1526661
4.17e-07,0.1663054
4.18e-07,0.1802197
4.19e-07,0.1941448
4.2e-07,0.2077647
4.21e-07,0.2207911
4.22e-07,0.2332355
4.23e-07,0.2452462
4.24e-07,0.2570397
4.25e-07,0.2688989
4.26e-07,0.2810677
4.27e-07,0.2933967
4.28e-07,0.3055933
4.29e-07,0.3173165
4.3e-07,0.3281798
4.31e-07,0.3378678
4.32e-07,0.3465097
4.33e-07,0.3543953
4.34e-07,0.3618655
4.35e-07,0.3693084
4.36e-07,0.3770107
4.37e-07,0.384685
4.38e-07,0.3918591
4.39e-07,0.3980192
4.4e-07,0.4026189
4.41e-07,0.4052637
4.42e-07,0.4062482
4.43e-07,0.406066
4.44e-07,0.4052283
4.45e-07,0.4042529
4.46e-07,0.4034808
4.47e-07,0.4025362
4.48e-07,0.4008675
4.49e-07,0.3979327
4.5e-07,0.3932139
4.51e-07,0.3864108
4.52e-07,0.3779513
4.53e-07,0.3684176
4.54e-07,0.3583473
4.55e-07,0.3482214
4.56e-07,0.338383
4.57e-07,0.3288309
4.58e-07,0.3194977
4.59e-07,0.3103345
4.6e-07,0.3013112
4.61e-07,0.2923754
4.62e-07,0.2833273
4.63e-07,0.2739463
4.64e-07,0.2640352
4.65e-07,0.2534221
4.66e-07,0.2420135
4.67e-07,0.2299346
4.68e-07,0.2173617
4.69e-07,0.2044672
4.7e-07,0.1914176
4.71e-07,0.1783672
4.72e-07,0.1654407
4.73e-07,0.1527391
4.74e-07,0.1403439
4.75e-07,0.1283167
4.76e-07,0.1167124
4.77e-07,0.1056121
4.78e-07,0.09508569
4.79e-07,0.08518206
4.8e-07,0.0759312
4.81e-07,0.06733159
4.82e-07,0.05932018
4.83e-07,0.05184106
4.84e-07,0.04486119
4.85e-07,0.0383677
4.86e-07,0.03237296
4.87e-07,0.02692095
4.88e-07,0.0220407
4.89e-07,0.01773951
4.9e-07,0.01400745
4.91e-07,0.01082291
4.92e-07,0.008168996
4.93e-07,0.006044623
4.94e-07,0.004462638
4.95e-07,0.00344681
4.96e-07,0.003009513
4.97e-07,0.003090744
4.98e-07,0.003611221
4.99e-07,0.004491435
5e-07,0.005652072
5.01e-07,0.007035322
5.02e-07,0.008669631
5.03e-07,0.01060755
5.04e-07,0.01290468
5.05e-07,0.01561956
5.06e-07,0.0188164
5.07e-07,0.02256923
5.08e-07,0.02694456
5.09e-07,0.0319991
5.1e-07,0.03778185
5.11e-07,0.04430635
5.12e-07,0.05146516
5.13e-07,0.05912224
5.14e-07,0.0671422
5.15e-07,0.07538941
5.16e-07,0.08376697
5.17e-07,0.09233581
5.18e-07,0.101194
5.19e-07,0.1104362
5.2e-07,0.1201511
5.21e-07,0.130396
5.22e-07,0.141131
5.23e-07,0.1522944
5.24e-07,0.1638288
5.25e-07,0.1756832
5.26e-07,0.1878114
5.27e-07,0.2001621
5.28e-07,0.2126822
5.29e-07,0.2253199
5.3e-07,0.2380254
5.31e-07,0.2507787
5.32e-07,0.2636778
5.33e-07,0.2768607
5.34e-07,0.2904792
5.35e-07,0.3046991
5.36e-07,0.3196485
5.37e-07,0.3352447
5.38e-07,0.351329
5.39e-07,0.3677148
5.4e-07,0.3841856
5.41e-07,0.4005312
5.42e-07,0.4166669
5.43e-07,0.432542
5.44e-07,0.4481063
5.45e-07,0.4633109
5.46e-07,0.478144
5.47e-07,0.4927483
5.48e-07,0.5073315
5.49e-07,0.5221315
5.5e-07,0.537417
5.51e-07,0.5534217
5.52e-07,0.5701242
5.53e-07,0.5874093
5.54e-07,0.6051269
5.55e-07,0.6230892
5.56e-07,0.6410999
5.57e-07,0.6590659
5.58e-07,0.6769436
5.59e-07,0.6947143
5.6e-07,0.7123849
5.61e-07,0.7299978
5.62e-07,0.7476478
5.63e-07,0.765425
5.64e-07,0.7834009
5.65e-07,0.8016277
5.66e-07,0.8201041
5.67e-07,0.8386843
5.68e-07,0.8571936
5.69e-07,0.8754652
5.7e-07,0.8933408
5.71e-07,0.9106772
5.72e-07,0.9273554
5.73e-07,0.9432502
5.74e-07,0.9582244
5.75e-07,0.9721304
5.76e-07,0.9849237
5.77e-07,0.9970067
5.78e-07,1.008907
5.79e-07,1.021163
5.8e-07,1.034327
5.81e-07,1.048753
5.82e-07,1.063937
5.83e-07,1.079166
5.84e-07,1.093723
5.85e-07,1.106886
5.86e-07,1.118106
5.87e-07,1.127493
5.88e-07,1.135317
5.89e-07,1.141838
5.9e-07,1.147304
5.91e-07,1.151897
5.92e-07,1.155582
5.93e-07,1.158284
5.94e-07,1.159934
5.95e-07,1.160477
5.96e-07,1.15989
5.97e-07,1.158259
5.98e-07,1.155692
5.99e-07,1.152293
6e-07,1.148163
6.01e-07,1.143345
6.02e-07,1.137685
6.03e-07,1.130993
6.04e-07,1.123097
6.05e-07,1.113846
6.06e-07,1.103152
6.07e-07,1.091121
6.08e-07,1.077902
6.09e-07,1.063644
6.1e-07,1.048485
6.11e-07,1.032546
6.12e-07,1.01587
6.13e-07,0.9984859
6.14e-07,0.9804227
6.15e-07,0.9617111
6.16e-07,0.9424119
6.17e-07,0.9227049
6.18e-07,0.9027804
6.19e-07,0.8828123
6.2e-07,0.8629581
6.21e-07,0.8432731
6.22e-07,0.8234742
6.23e-07,0.8032342
6.24e-07,0.7822715
6.25e-07,0.7603498
6.26e-07,0.7373739
6.27e-07,0.713647
6.28e-07,0.6895336
6.29e-07,0.6653567
6.3e-07,0.6413984
6.31e-07,0.6178723
6.32e-07,0.5948484
6.33e-07,0.57236
6.34e-07,0.5504353
6.35e-07,0.5290979
6.36e-07,0.5083728
6.37e-07,0.4883006
6.38e-07,0.4689171
6.39e-07,0.4502486
6.4e-07,0.4323126
6.41e-07,0.415079
6.42e-07,0.3983657
6.43e-07,0.3819846
6.44e-07,0.3657821
6.45e-07,0.3496358
6.46e-07,0.3334937
6.47e-07,0.3174776
6.48e-07,0.3017298
6.49e-07,0.2863684
6.5e-07,0.27149
6.51e-07,0.2571632
6.52e-07,0.2434102
6.53e-07,0.2302389
6.54e-07,0.2176527
6.55e-07,0.2056507
6.56e-07,0.1942251
6.57e-07,0.183353
6.58e-07,0.1730097
6.59e-07,0.1631716
6.6e-07,0.1538163
6.61e-07,0.144923
6.62e-07,0.1364729
6.63e-07,0.1284483
6.64e-07,0.120832
6.65e-07,0.1136072
6.66e-07,0.1067579
6.67e-07,0.1002685
6.68e-07,0.09412394
6.69e-07,0.08830929
6.7e-07,0.0828101
6.71e-07,0.07761208
6.72e-07,0.07270064
6.73e-07,0.06806167
6.74e-07,0.06368176
6.75e-07,0.05954815
6.76e-07,0.05564917
6.77e-07,0.05197543
6.78e-07,0.04851788
6.79e-07,0.04526737
6.8e-07,0.04221473
6.81e-07,0.03934954
6.82e-07,0.0366573
6.83e-07,0.03412407
6.84e-07,0.03173768
6.85e-07,0.02948752
6.86e-07,0.02736717
6.87e-07,0.02538113
6.88e-07,0.02353356
6.89e-07,0.02182558
6.9e-07,0.0202559
6.91e-07,0.01881892
6.92e-07,0.0174993
6.93e-07,0.01628167
6.94e-07,0.01515301
6.95e-07,0.0141023
6.96e-07,0.01312106
6.97e-07,0.01220509
6.98e-07,0.01135114
6.99e-07,0.01055593
7e-07,0.009816228
7.01e-07,0.009128517
7.02e-07,0.008488116
7.03e-07,0.007890589
7.04e-07,0.007332061
7.05e-07,0.006809147
7.06e-07,0.006319204
7.07e-07,0.005861036
7.08e-07,0.005433624
7.09e-07,0.005035802
7.1e-07,0.004666298
7.11e-07,0.00432375
7.12e-07,0.004006709
7.13e-07,0.003713708
7.14e-07,0.003443294
7.15e-07,0.003194041
7.16e-07,0.002964424
7.17e-07,0.002752492
7.18e-07,0.002556406
7.19e-07,0.002374564
7.2e-07,0.002205568
7.21e-07,0.002048294
7.22e-07,0.001902113
7.23e-07,0.001766485
7.24e-07,0.001640857
7.25e-07,0.001524672
7.26e-07,0.001417322
7.27e-07,0.001318031
7.28e-07,0.001226059
7.29e-07,0.001140743
7.3e-07,0.001061495
7.31e-07,0.0009877949
7.32e-07,0.0009191847
7.33e-07,0.0008552568
7.34e-07,0.0007956433
7.35e-07,0.000740012
7.36e-07,0.000688098
7.37e-07,0.0006397864
7.38e-07,0.0005949726
7.39e-07,0.0005535291
7.4e-07,0.0005153113
7.41e-07,0.0004801234
7.42e-07,0.0004476245
7.43e-07,0.0004174846
7.44e-07,0.0003894221
7.45e-07,0.0003631969
7.46e-07,0.0003386279
7.47e-07,0.0003156452
7.48e-07,0.0002941966
7.49e-07,0.0002742235
7.5e-07,0.0002556624
7.51e-07,0.000238439
7.52e-07,0.0002224525
7.53e-07,0.0002076036
7.54e-07,0.0001938018
7.55e-07,0.0001809649
7.56e-07,0.0001690167
7.57e-07,0.0001578839
7.58e-07,0.0001474993
7.59e-07,0.0001378026
7.6e-07,0.0001287394
7.61e-07,0.0001202644
7.62e-07,0.0001123502
7.63e-07,0.0001049725
7.64e-07,9.810596e-05
7.65e-07,9.172477e-05
7.66e-07,8.579861e-05
7.67e-07,8.028174e-05
7.68e-07,7.513013e-05
7.69e-07,7.030565e-05
7.7e-07,6.577532e-05
7.71e-07,6.151508e-05
7.72e-07,5.752025e-05
7.73e-07,5.378813e-05
7.74e-07,5.03135e-05
7.75e-07,4.708916e-05
7.76e-07,4.410322e-05
7.77e-07,4.13315e-05
7.78e-07,3.874992e-05
7.79e-07,3.633762e-05
7.8e-07,3.407653e-05
7.81e-07,3.195242e-05
7.82e-07,2.995808e-05
7.83e-07,2.808781e-05
7.84e-07,2.633581e-05
7.85e-07,2.46963e-05
7.86e-07,2.316311e-05
7.87e-07,2.172855e-05
7.88e-07,2.038519e-05
7.89e-07,1.912625e-05
7.9e-07,1.794555e-05
7.91e-07,1.683776e-05
7.92e-07,1.579907e-05
7.93e-07,1.482604e-05
7.94e-07,1.391527e-05
7.95e-07,1.306345e-05
7.96e-07,1.22672e-05
7.97e-07,1.152279e-05
7.98e-07,1.082663e-05
7.99e-07,1.01754e-05
8e-07,9.565993e-06
8.01e-07,8.995405e-06
8.02e-07,8.460253e-06
8.03e-07,7.957382e-06
8.04e-07,7.483997e-06
8.05e-07,7.037621e-06
8.06e-07,6.616311e-06
8.07e-07,6.219265e-06
8.08e-07,5.845844e-06
8.09e-07,5.495311e-06
8.1e-07,5.166853e-06
8.11e-07,4.859511e-06
8.12e-07,4.571973e-06
8.13e-07,4.30292e-06
8.14e-07,4.051121e-06
8.15e-07,3.815429e-06
8.16e-07,3.594719e-06
8.17e-07,3.387736e-06
8.18e-07,3.193301e-06
8.19e-07,3.010363e-06
8.2e-07,2.83798e-06
8.21e-07,2.675365e-06
8.22e-07,2.52202e-06
8.23e-07,2.377511e-06
8.24e-07,2.241417e-06
