wavelength,s_bar
3.9e-07,0.00614265
3.91e-07,0.0074428
3.92e-07,0.00901661
3.93e-07,0.010917
3.94e-07,0.0132053
3.95e-07,0.0159515
3.96e-07,0.0192347
3.97e-07,0.0231436
3.98e-07,0.027775
3.99e-07,0.0332339
4e-07,0.0396308
4.01e-07,0.0470801
4.02e-07,0.0557012
4.03e-07,0.0656137
4.04e-07,0.0769323
4.05e-07,0.0897612
4.06e-07,0.104188
4.07e-07,0.120273
4.08e-07,0.138044
4.09e-07,0.157485
4.1e-07,0.17853
4.11e-07,0.201077
4.12e-07,0.225091
4.13e-07,0.250566
4.14e-07,0.277507
4.15e-07,0.305941
4.16e-07,0.335858
4.17e-07,0.366981
4.18e-07,0.398876
4.19e-07,0.430998
4.2e-07,0.462692
4.21e-07,0.493357
4.22e-07,0.523006
4.23e-07,0.551939
4.24e-07,0.580599
4.25e-07,0.60957
4.26e-07,0.639359
4.27e-07,0.669651
4.28e-07,0.699829
4.29e-07,0.729177
4.3e-07,0.756885
4.31e-07,0.782292
4.32e-07,0.805666
4.33e-07,0.827599
4.34e-07,0.84878
4.35e-07,0.869984
4.36e-07,0.891761
4.37e-07,0.913444
4.38e-07,0.933977
4.39e-07,0.952218
4.4e-07,0.96696
4.41e-07,0.97734
4.42e-07,0.984028
4.43e-07,0.988144
4.44e-07,0.990851
4.45e-07,0.993336
4.46e-07,0.996373
4.47e-07,0.999038
4.48e-07,0.999978
4.49e-07,0.997844
4.5e-07,0.991329
4.51e-07,0.979657
4.52e-07,0.963905
4.53e-07,0.945573
4.54e-07,0.926078
4.55e-07,0.906735
4.56e-07,0.888509
4.57e-07,0.871353
4.58e-07,0.854998
4.59e-07,0.839198
4.6e-07,0.823726
4.61e-07,0.808307
4.62e-07,0.792431
4.63e-07,0.775569
4.64e-07,0.757244
4.65e-07,0.737043
4.66e-07,0.71473
4.67e-07,0.690558
4.68e-07,0.66489
4.69e-07,0.638078
4.7e-07,0.610456
4.71e-07,0.582346
4.72e-07,0.554065
4.73e-07,0.525903
4.74e-07,0.498108
4.75e-07,0.470894
4.76e-07,0.44445
4.77e-07,0.418992
4.78e-07,0.394699
4.79e-07,0.371707
4.8e-07,0.350108
4.81e-07,0.329904
4.82e-07,0.310864
4.83e-07,0.292741
4.84e-07,0.275338
4.85e-07,0.258497
4.86e-07,0.242158
4.87e-07,0.226504
4.88e-07,0.211726
4.89e-07,0.19796
4.9e-07,0.185297
4.91e-07,0.173751
4.92e-07,0.163149
4.93e-07,0.153311
4.94e-07,0.144086
4.95e-07,0.135351
4.96e-07,0.127011
4.97e-07,0.119017
4.98e-07,0.111333
4.99e-07,0.103934
5e-07,0.096799
5.01e-07,0.0899169
5.02e-07,0.0832878
5.03e-07,0.0769157
5.04e-07,0.0708052
5.05e-07,0.0649614
5.06e-07,0.0594049
5.07e-07,0.0542076
5.08e-07,0.0494281
5.09e-07,0.0450993
5.1e-07,0.0412337
5.11e-07,0.0378142
5.12e-07,0.0347627
5.13e-07,0.0320029
5.14e-07,0.0294746
5.15e-07,0.02713
5.16e-07,0.0249376
5.17e-07,0.0228931
5.18e-07,0.0209956
5.19e-07,0.0192427
5.2e-07,0.0176298
5.21e-07,0.0161501
5.22e-07,0.0147911
5.23e-07,0.0135407
5.24e-07,0.0123884
5.25e-07,0.0113252
5.26e-07,0.0103437
5.27e-07,0.00944092
5.28e-07,0.00861365
5.29e-07,0.00785831
5.3e-07,0.00717089
5.31e-07,0.00654648
