wavelength,blue-flower
3.8e-07,0.144
3.9e-07,0.198
4e-07,0.294
4.1e-07,0.375
4.2e-07,0.408
4.3e-07,0.421
4.4e-07,0.426
4.5e-07,0.426
4.6e-07,0.419
4.7e-07,0.403
4.8e-07,0.379
4.9e-07,0.346
5e-07,0.311
5.1e-07,0.281
5.2e-07,0.254
5.3e-07,0.229
5.4e-07,0.214
5.5e-07,0.208
5.6e-07,0.202
5.7e-07,0.194
5.8e-07,0.193
5.9e-07,0.2
6e-07,0.214
6.1e-07,0.23
6.2e-07,0.241
6.3e-07,0.254
6.4e-07,0.279
6.5e-07,0.313
6.6e-07,0.348
6.7e-07,0.366
6.8e-07,0.366
6.9e-07,0.359
7e-07,0.358
7.1e-07,0.365
7.2e-07,0.377
7.3e-07,0.398
