wavelength,magenta
3.8e-07,0.145
3.9e-07,0.195
4e-07,0.283
4.1e-07,0.346
4.2e-07,0.362
4.3e-07,0.354
4.4e-07,0.334
4.5e-07,0.306
4.6e-07,0.276
4.7e-07,0.248
4.8e-07,0.218
4.9e-07,0.19
5e-07,0.168
5.1e-07,0.149
5.2e-07,0.127
5.3e-07,0.107
5.4e-07,0.1
5.5e-07,0.102
5.6e-07,0.104
5.7e-07,0.109
5.8e-07,0.137
5.9e-07,0.2
6e-07,0.29
6.1e-07,0.4
6.2e-07,0.516
6.3e-07,0.615
6.4e-07,0.687
6.5e-07,0.732
6.6e-07,0.76
6.7e-07,0.774
6.8e-07,0.783
6.9e-07,0.793
7e-07,0.803
7.1e-07,0.812
7.2e-07,0.817
7.3e-07,0.825
