wavelength,orange
3.8e-07,0.054
3.9e-07,0.054
4e-07,0.053
4.1e-07,0.054
4.2e-07,0.054
4.3e-07,0.055
4.4e-07,0.055
4.5e-07,0.055
4.6e-07,0.056
4.7e-07,0.057
4.8e-07,0.058
4.9e-07,0.061
5e-07,0.068
5.1e-07,0.089
5.2e-07,0.125
5.3e-07,0.154
5.4e-07,0.174
5.5e-07,0.199
5.6e-07,0.248
5.7e-07,0.335
5.8e-07,0.444
5.9e-07,0.538
6e-07,0.587
6.1e-07,0.595
6.2e-07,0.591
6.3e-07,0.587
6.4e-07,0.584
6.5e-07,0.584
6.6e-07,0.59
6.7e-07,0.603
6.8e-07,0.62
6.9e-07,0.639
7e-07,0.655
7.1e-07,0.663
7.2e-07,0.663
7.3e-07,0.667
