wavelength,red
3.8e-07,0.05
3.9e-07,0.049
4e-07,0.048
4.1e-07,0.047
4.2e-07,0.047
4.3e-07,0.047
4.4e-07,0.047
4.5e-07,0.047
4.6e-07,0.046
4.7e-07,0.045
4.8e-07,0.044
4.9e-07,0.044
5e-07,0.045
5.1e-07,0.046
5.2e-07,0.047
5.3e-07,0.048
5.4e-07,0.049
5.5e-07,0.05
5.6e-07,0.054
5.7e-07,0.06
5.8e-07,0.072
5.9e-07,0.104
6e-07,0.178
6.1e-07,0.312
6.2e-07,0.467
6.3e-07,0.581
6.4e-07,0.644
6.5e-07,0.675
6.6e-07,0.69
6.7e-07,0.698
6.8e-07,0.706
6.9e-07,0.715
7e-07,0.724
7.1e-07,0.73
7.2e-07,0.734
7.3e-07,0.738
