wavelength,white 9.5 (.05 D)
3.8e-07,0.189
3.9e-07,0.255
4e-07,0.423
4.1e-07,0.66
4.2e-07,0.811
4.3e-07,0.862
4.4e-07,0.877
4.5e-07,0.884
4.6e-07,0.891
4.7e-07,0.896
4.8e-07,0.899
4.9e-07,0.904
5e-07,0.907
5.1e-07,0.909
5.2e-07,0.911
5.3e-07,0.91
5.4e-07,0.911
5.5e-07,0.914
5.6e-07,0.913
5.7e-07,0.916
5.8e-07,0.915
5.9e-07,0.916
6e-07,0.914
6.1e-07,0.915
6.2e-07,0.918
6.3e-07,0.919
6.4e-07,0.921
6.5e-07,0.923
6.6e-07,0.924
6.7e-07,0.922
6.8e-07,0.922
6.9e-07,0.925
7e-07,0.927
7.1e-07,0.93
7.2e-07,0.93
7.3e-07,0.933
