wavelength,light skin
3.8e-07,0.103
3.85e-07,0.12
3.9e-07,0.141
3.95e-07,0.163
4e-07,0.182
4.05e-07,0.192
4.1e-07,0.197
4.15e-07,0.199
4.2e-07,0.201
4.25e-07,0.203
4.3e-07,0.205
4.35e-07,0.208
4.4e-07,0.212
4.45e-07,0.217
4.5e-07,0.224
4.55e-07,0.231
4.6e-07,0.24
4.65e-07,0.251
4.7e-07,0.262
4.75e-07,0.273
4.8e-07,0.282
4.85e-07,0.289
4.9e-07,0.293
4.95e-07,0.296
5e-07,0.301
5.05e-07,0.31
5.1e-07,0.321
5.15e-07,0.326
5.2e-07,0.322
5.25e-07,0.31
5.3e-07,0.298
5.35e-07,0.291
5.4e-07,0.292
5.45e-07,0.297
5.5e-07,0.3
5.55e-07,0.298
5.6e-07,0.295
5.65e-07,0.295
5.7e-07,0.305
5.75e-07,0.326
5.8e-07,0.358
5.85e-07,0.397
5.9e-07,0.435
5.95e-07,0.468
6e-07,0.494
6.05e-07,0.514
6.1e-07,0.53
6.15e-07,0.541
6.2e-07,0.55
6.25e-07,0.557
6.3e-07,0.564
6.35e-07,0.569
6.4e-07,0.574
6.45e-07,0.582
6.5e-07,0.59
6.55e-07,0.597
6.6e-07,0.605
6.65e-07,0.614
6.7e-07,0.624
6.75e-07,0.637
6.8e-07,0.652
6.85e-07,0.668
6.9e-07,0.682
6.95e-07,0.697
7e-07,0.713
7.05e-07,0.728
7.1e-07,0.745
7.15e-07,0.753
7.2e-07,0.762
7.25e-07,0.774
7.3e-07,0.783
7.35e-07,0.788
7.4e-07,0.791
7.45e-07,0.787
7.5e-07,0.789
7.55e-07,0.794
7.6e-07,0.801
7.65e-07,0.799
7.7e-07,0.771
7.75e-07,0.747
7.8e-07,0.734
