wavelength,moderate red
3.8e-07,0.096
3.85e-07,0.108
3.9e-07,0.123
3.95e-07,0.135
4e-07,0.144
4.05e-07,0.145
4.1e-07,0.144
4.15e-07,0.141
4.2e-07,0.138
4.25e-07,0.134
4.3e-07,0.132
4.35e-07,0.132
4.4e-07,0.131
4.45e-07,0.131
4.5e-07,0.129
4.55e-07,0.128
4.6e-07,0.126
4.65e-07,0.126
4.7e-07,0.125
4.75e-07,0.123
4.8e-07,0.119
4.85e-07,0.114
4.9e-07,0.109
4.95e-07,0.105
5e-07,0.103
5.05e-07,0.102
5.1e-07,0.1
5.15e-07,0.097
5.2e-07,0.094
5.25e-07,0.091
5.3e-07,0.089
5.35e-07,0.09
5.4e-07,0.092
5.45e-07,0.096
5.5e-07,0.102
5.55e-07,0.106
5.6e-07,0.108
5.65e-07,0.109
5.7e-07,0.112
5.75e-07,0.126
5.8e-07,0.157
5.85e-07,0.208
5.9e-07,0.274
5.95e-07,0.346
6e-07,0.415
6.05e-07,0.473
6.1e-07,0.517
6.15e-07,0.547
6.2e-07,0.567
6.25e-07,0.582
6.3e-07,0.591
6.35e-07,0.597
6.4e-07,0.601
6.45e-07,0.604
6.5e-07,0.607
6.55e-07,0.608
6.6e-07,0.607
6.65e-07,0.606
6.7e-07,0.605
6.75e-07,0.605
6.8e-07,0.605
6.85e-07,0.604
6.9e-07,0.605
6.95e-07,0.606
7e-07,0.606
7.05e-07,0.604
7.1e-07,0.602
7.15e-07,0.601
7.2e-07,0.599
7.25e-07,0.598
7.3e-07,0.596
7.35e-07,0.595
7.4e-07,0.593
7.45e-07,0.587
7.5e-07,0.584
7.55e-07,0.584
7.6e-07,0.586
7.65e-07,0.584
7.7e-07,0.566
7.75e-07,0.551
7.8e-07,0.54
