wavelength,neutral 3.5 (1.05 D)
3.8e-07,0.074
3.85e-07,0.079
3.9e-07,0.084
3.95e-07,0.088
4e-07,0.091
4.05e-07,0.093
4.1e-07,0.094
4.15e-07,0.094
4.2e-07,0.094
4.25e-07,0.094
4.3e-07,0.094
4.35e-07,0.095
4.4e-07,0.095
4.45e-07,0.095
4.5e-07,0.095
4.55e-07,0.094
4.6e-07,0.094
4.65e-07,0.094
4.7e-07,0.094
4.75e-07,0.093
4.8e-07,0.093
4.85e-07,0.093
4.9e-07,0.093
4.95e-07,0.092
5e-07,0.092
5.05e-07,0.093
5.1e-07,0.093
5.15e-07,0.093
5.2e-07,0.093
5.25e-07,0.093
5.3e-07,0.093
5.35e-07,0.093
5.4e-07,0.093
5.45e-07,0.093
5.5e-07,0.093
5.55e-07,0.092
5.6e-07,0.093
5.65e-07,0.093
5.7e-07,0.093
5.75e-07,0.093
5.8e-07,0.093
5.85e-07,0.093
5.9e-07,0.093
5.95e-07,0.092
6e-07,0.092
6.05e-07,0.092
6.1e-07,0.092
6.15e-07,0.091
6.2e-07,0.091
6.25e-07,0.091
6.3e-07,0.09
6.35e-07,0.09
6.4e-07,0.09
6.45e-07,0.09
6.5e-07,0.089
6.55e-07,0.089
6.6e-07,0.089
6.65e-07,0.088
6.7e-07,0.088
6.75e-07,0.088
6.8e-07,0.087
6.85e-07,0.087
6.9e-07,0.087
6.95e-07,0.087
7e-07,0.086
7.05e-07,0.086
7.1e-07,0.086
7.15e-07,0.086
7.2e-07,0.085
7.25e-07,0.085
7.3e-07,0.085
7.35e-07,0.085
7.4e-07,0.085
7.45e-07,0.084
7.5e-07,0.084
7.55e-07,0.084
7.6e-07,0.084
7.65e-07,0.084
7.7e-07,0.083
7.75e-07,0.083
7.8e-07,0.083
