wavelength,purple
3.8e-07,0.101
3.85e-07,0.115
3.9e-07,0.135
3.95e-07,0.157
4e-07,0.177
4.05e-07,0.191
4.1e-07,0.199
4.15e-07,0.203
4.2e-07,0.206
4.25e-07,0.198
4.3e-07,0.19
4.35e-07,0.179
4.4e-07,0.168
4.45e-07,0.156
4.5e-07,0.144
4.55e-07,0.132
4.6e-07,0.12
4.65e-07,0.11
4.7e-07,0.101
4.75e-07,0.093
4.8e-07,0.086
4.85e-07,0.08
4.9e-07,0.075
4.95e-07,0.07
5e-07,0.067
5.05e-07,0.063
5.1e-07,0.061
5.15e-07,0.059
5.2e-07,0.058
5.25e-07,0.056
5.3e-07,0.054
5.35e-07,0.053
5.4e-07,0.052
5.45e-07,0.052
5.5e-07,0.053
5.55e-07,0.054
5.6e-07,0.055
5.65e-07,0.055
5.7e-07,0.054
5.75e-07,0.053
5.8e-07,0.052
5.85e-07,0.052
5.9e-07,0.053
5.95e-07,0.055
6e-07,0.059
6.05e-07,0.065
6.1e-07,0.074
6.15e-07,0.086
6.2e-07,0.099
6.25e-07,0.113
6.3e-07,0.126
6.35e-07,0.138
6.4e-07,0.149
6.45e-07,0.161
6.5e-07,0.172
6.55e-07,0.182
6.6e-07,0.193
6.65e-07,0.205
6.7e-07,0.217
6.75e-07,0.232
6.8e-07,0.248
6.85e-07,0.266
6.9e-07,0.282
6.95e-07,0.301
7e-07,0.319
7.05e-07,0.338
7.1e-07,0.355
7.15e-07,0.371
7.2e-07,0.388
7.25e-07,0.406
7.3e-07,0.422
7.35e-07,0.436
7.4e-07,0.451
7.45e-07,0.46
7.5e-07,0.471
7.55e-07,0.481
7.6e-07,0.492
7.65e-07,0.495
7.7e-07,0.482
7.75e-07,0.471
7.8e-07,0.467
