wavelength,red
3.8e-07,0.0025
3.85e-07,0.0017
3.9e-07,0.0017
3.95e-07,0.0011
4e-07,0.0017
4.05e-07,0.0028
4.1e-07,0.0037
4.15e-07,0.0046
4.2e-07,0.0064
4.25e-07,0.0079
4.3e-07,0.0094
4.35e-07,0.0105
4.4e-07,0.0113
4.45e-07,0.0115
4.5e-07,0.0113
4.55e-07,0.0113
4.6e-07,0.0115
4.65e-07,0.0164
4.7e-07,0.0162
4.75e-07,0.012
4.8e-07,0.0091
4.85e-07,0.0119
4.9e-07,0.0174
4.95e-07,0.0218
5e-07,0.013
5.05e-07,0.0123
5.1e-07,0.026
5.15e-07,0.0242
5.2e-07,0.0125
5.25e-07,0.0119
5.3e-07,0.0201
5.35e-07,0.0596
5.4e-07,0.0647
5.45e-07,0.0251
5.5e-07,0.0248
5.55e-07,0.0325
5.6e-07,0.0199
5.65e-07,0.0161
5.7e-07,0.0128
5.75e-07,0.0217
5.8e-07,0.0693
5.85e-07,0.122
5.9e-07,0.1861
5.95e-07,0.2173
6e-07,0.0777
6.05e-07,0.0531
6.1e-07,0.2434
6.15e-07,0.5812
6.2e-07,0.9354
6.25e-07,1.6054
6.3e-07,0.6464
6.35e-07,0.11
6.4e-07,0.0322
6.45e-07,0.0207
6.5e-07,0.0194
6.55e-07,0.0196
6.6e-07,0.0166
6.65e-07,0.0173
6.7e-07,0.022
6.75e-07,0.0186
6.8e-07,0.0377
6.85e-07,0.0782
6.9e-07,0.0642
6.95e-07,0.1214
7e-07,0.7169
7.05e-07,1.1098
7.1e-07,0.3106
7.15e-07,0.0241
7.2e-07,0.018
7.25e-07,0.0149
7.3e-07,0.0108
7.35e-07,0.0097
7.4e-07,0.0091
7.45e-07,0.0093
7.5e-07,0.0083
7.55e-07,0.0073
7.6e-07,0.0081
7.65e-07,0.0067
7.7e-07,0.007
7.75e-07,0.0073
7.8e-07,0.0066
