wavelength,green
3.8e-07,0.0
3.85e-07,-1.65436122511e-24
3.9e-07,0.0
3.95e-07,1.32348898008e-23
4e-07,0.0
4.05e-07,1.05879118407e-22
4.1e-07,-4.23516473627e-22
4.15e-07,1.69406589451e-21
4.2e-07,0.0
4.25e-07,0.0
4.3e-07,0.004
4.35e-07,0.0119
4.4e-07,0.0
4.45e-07,0.0119
4.5e-07,0.0119
4.55e-07,0.0079
4.6e-07,0.0198
4.65e-07,0.0238
4.7e-07,0.0317
4.75e-07,0.0357
4.8e-07,0.0516
4.85e-07,0.0873
4.9e-07,0.0873
4.95e-07,0.0675
5e-07,0.0437
5.05e-07,0.0357
5.1e-07,0.0317
5.15e-07,0.0317
5.2e-07,0.0238
5.25e-07,0.0238
5.3e-07,0.0317
5.35e-07,0.1944
5.4e-07,1.5794
5.45e-07,1.4048
5.5e-07,0.4127
5.55e-07,0.0952
5.6e-07,0.0317
5.65e-07,0.0159
5.7e-07,0.0079
5.75e-07,0.0952
5.8e-07,0.1429
5.85e-07,0.1468
5.9e-07,0.0754
5.95e-07,0.0357
6e-07,0.0159
6.05e-07,0.004
6.1e-07,0.0476
6.15e-07,0.0159
6.2e-07,0.004
6.25e-07,0.004
6.3e-07,4.06575814682e-20
6.35e-07,4.74338450462e-20
6.4e-07,8.47032947254e-21
6.45e-07,3.38813178902e-21
6.5e-07,-6.77626357803e-21
6.55e-07,0.0
6.6e-07,-1.08420217249e-19
6.65e-07,0.004
6.7e-07,0.004
6.75e-07,1.35525271561e-20
6.8e-07,-2.71050543121e-20
6.85e-07,-8.47032947254e-21
6.9e-07,-6.77626357803e-21
6.95e-07,0.0
7e-07,-5.42101086243e-20
7.05e-07,0.0
7.1e-07,0.004
7.15e-07,2.16840434497e-19
7.2e-07,-1.69406589451e-20
7.25e-07,1.01643953671e-20
7.3e-07,3.81164826264e-21
7.35e-07,-6.08804930839e-22
7.4e-07,1.05879118407e-22
7.45e-07,-4.23516473627e-22
7.5e-07,0.0
7.55e-07,-6.77626357803e-21
7.6e-07,0.0
7.65e-07,0.0
7.7e-07,4.33680868994e-19
7.75e-07,0.0119
7.8e-07,0.0
