wavelength,red
3.8e-07,0.0
3.85e-07,0.0
3.9e-07,0.0
3.95e-07,0.0
4e-07,0.0
4.05e-07,0.0
4.1e-07,0.0
4.15e-07,0.0
4.2e-07,0.0
4.25e-07,0.0
4.3e-07,0.0
4.35e-07,0.0
4.4e-07,0.004
4.45e-07,0.004
4.5e-07,0.0
4.55e-07,0.004
4.6e-07,0.0
4.65e-07,0.004
4.7e-07,0.004
4.75e-07,0.004
4.8e-07,0.004
4.85e-07,0.004
4.9e-07,0.004
4.95e-07,0.004
5e-07,0.004
5.05e-07,0.0
5.1e-07,0.0
5.15e-07,0.0
5.2e-07,0.0
5.25e-07,0.0
5.3e-07,0.0
5.35e-07,0.0
5.4e-07,0.0
5.45e-07,0.0437
5.5e-07,0.0317
5.55e-07,0.004
5.6e-07,0.0
5.65e-07,0.0
5.7e-07,0.0
5.75e-07,0.0
5.8e-07,0.004
5.85e-07,0.0198
5.9e-07,0.0635
5.95e-07,0.0873
6e-07,0.0635
6.05e-07,0.0714
6.1e-07,0.2619
6.15e-07,1.0714
6.2e-07,0.4881
6.25e-07,0.3532
6.3e-07,0.2103
6.35e-07,0.1944
6.4e-07,0.0556
6.45e-07,0.0238
6.5e-07,0.0476
6.55e-07,0.0675
6.6e-07,0.0238
6.65e-07,0.0397
6.7e-07,0.0397
6.75e-07,0.0278
6.8e-07,0.0278
6.85e-07,0.0317
6.9e-07,0.0317
6.95e-07,0.0198
7e-07,0.0159
7.05e-07,0.0119
7.1e-07,0.0952
7.15e-07,0.0952
7.2e-07,0.0159
7.25e-07,0.004
7.3e-07,0.0
7.35e-07,0.0
7.4e-07,0.0
7.45e-07,0.0
7.5e-07,0.0
7.55e-07,0.0
7.6e-07,0.0
7.65e-07,0.0
7.7e-07,0.0
7.75e-07,0.0
7.8e-07,0.0
