wavelength,y_bar
3.6e-07,1.3398e-08
3.61e-07,2.0294e-08
3.62e-07,3.056e-08
3.63e-07,4.574e-08
3.64e-07,6.805e-08
3.65e-07,1.0065e-07
3.66e-07,1.4798e-07
3.67e-07,2.1627e-07
3.68e-07,3.142e-07
3.69e-07,4.537e-07
3.7e-07,6.511e-07
3.71e-07,9.288e-07
3.72e-07,1.3175e-06
3.73e-07,1.8572e-06
3.74e-07,2.602e-06
3.75e-07,3.625e-06
3.76e-07,5.019e-06
3.77e-07,6.907e-06
3.78e-07,9.449e-06
3.79e-07,1.2848e-05
3.8e-07,1.7364e-05
3.81e-07,2.3327e-05
3.82e-07,3.115e-05
3.83e-07,4.135e-05
3.84e-07,5.456e-05
3.85e-07,7.156e-05
3.86e-07,9.33e-05
3.87e-07,0.00012087
3.88e-07,0.00015564
3.89e-07,0.0001992
3.9e-07,0.0002534
3.91e-07,0.0003202
3.92e-07,0.0004024
3.93e-07,0.0005023
3.94e-07,0.0006232
3.95e-07,0.0007685
3.96e-07,0.0009417
3.97e-07,0.0011478
3.98e-07,0.0013903
3.99e-07,0.001674
4e-07,0.0020044
4.01e-07,0.002386
4.02e-07,0.002822
4.03e-07,0.003319
4.04e-07,0.00388
4.05e-07,0.004509
4.06e-07,0.005209
4.07e-07,0.005985
4.08e-07,0.006833
4.09e-07,0.007757
4.1e-07,0.008756
4.11e-07,0.009816
4.12e-07,0.010918
4.13e-07,0.012058
4.14e-07,0.013237
4.15e-07,0.014456
4.16e-07,0.015717
4.17e-07,0.017025
4.18e-07,0.018399
4.19e-07,0.019848
4.2e-07,0.021391
4.21e-07,0.022992
4.22e-07,0.024598
4.23e-07,0.026213
4.24e-07,0.027841
4.25e-07,0.029497
4.26e-07,0.031195
4.27e-07,0.032927
4.28e-07,0.034738
4.29e-07,0.036654
4.3e-07,0.038676
4.31e-07,0.040792
4.32e-07,0.042946
4.33e-07,0.045114
4.34e-07,0.047333
4.35e-07,0.049602
4.36e-07,0.051934
4.37e-07,0.054337
4.38e-07,0.056822
4.39e-07,0.059399
4.4e-07,0.062077
4.41e-07,0.064737
4.42e-07,0.067285
4.43e-07,0.069764
4.44e-07,0.072218
4.45e-07,0.074704
