wavelength,l_bar
3.8e-07,0.0
3.85e-07,-1.35525271561e-20
3.9e-07,5.42101086243e-20
3.95e-07,0.0
4e-07,0.0027
4.05e-07,0.0044
4.1e-07,0.0069
4.15e-07,0.0108
4.2e-07,0.0158
4.25e-07,0.02
4.3e-07,0.0233
4.35e-07,0.0268
4.4e-07,0.0301
4.45e-07,0.0324
4.5e-07,0.0343
4.55e-07,0.0368
4.6e-07,0.0412
4.65e-07,0.0502
4.7e-07,0.0627
4.75e-07,0.0798
4.8e-07,0.102
4.85e-07,0.128
4.9e-07,0.162
4.95e-07,0.206
5e-07,0.263
5.05e-07,0.337
5.1e-07,0.423
5.15e-07,0.52
5.2e-07,0.617
5.25e-07,0.7
5.3e-07,0.773
5.35e-07,0.834
5.4e-07,0.883
5.45e-07,0.923
5.5e-07,0.954
5.55e-07,0.977
5.6e-07,0.993
5.65e-07,1.0
5.7e-07,0.997
5.75e-07,0.986
5.8e-07,0.965
5.85e-07,0.934
5.9e-07,0.894
5.95e-07,0.848
6e-07,0.795
6.05e-07,0.735
6.1e-07,0.67
6.15e-07,0.602
6.2e-07,0.53
6.25e-07,0.454
6.3e-07,0.38
6.35e-07,0.315
6.4e-07,0.256
6.45e-07,0.204
6.5e-07,0.159
6.55e-07,0.122
6.6e-07,0.0914
6.65e-07,0.067
6.7e-07,0.0482
6.75e-07,0.035
6.8e-07,0.0257
6.85e-07,0.018
6.9e-07,0.0124
6.95e-07,0.0087
7e-07,0.0062
7.05e-07,1.49077798717e-19
7.1e-07,-6.77626357803e-21
7.15e-07,4.23516473627e-21
7.2e-07,-1.90582413132e-21
7.25e-07,9.52912065661e-22
7.3e-07,3.70576914424e-22
7.35e-07,-1.05879118407e-22
7.4e-07,-2.48154183766e-23
7.45e-07,-5.37667398159e-24
7.5e-07,-1.44756607197e-24
7.55e-07,1.03397576569e-25
7.6e-07,1.35709319247e-25
7.65e-07,6.46234853557e-27
7.7e-07,1.61558713389e-27
7.75e-07,-6.46234853557e-27
7.8e-07,0.0
