wavelength,s_bar
3.8e-07,0.0
3.85e-07,0.0
3.9e-07,0.0
3.95e-07,0.0
4e-07,0.108
4.05e-07,0.179
4.1e-07,0.285
4.15e-07,0.453
4.2e-07,0.659
4.25e-07,0.813
4.3e-07,0.908
4.35e-07,0.977
4.4e-07,1.0
4.45e-07,0.97
4.5e-07,0.91
4.55e-07,0.85
4.6e-07,0.799
4.65e-07,0.775
4.7e-07,0.689
4.75e-07,0.582
4.8e-07,0.468
4.85e-07,0.362
4.9e-07,0.276
4.95e-07,0.212
5e-07,0.164
5.05e-07,0.128
5.1e-07,0.0956
5.15e-07,0.0676
5.2e-07,0.0474
5.25e-07,0.0347
5.3e-07,0.0256
5.35e-07,0.0182
5.4e-07,0.0124
5.45e-07,0.0083
5.5e-07,0.0055
5.55e-07,0.0037
5.6e-07,0.0025
5.65e-07,0.0018
5.7e-07,0.0014
5.75e-07,0.0013
5.8e-07,0.0012
5.85e-07,0.001
5.9e-07,0.0008
5.95e-07,0.0007
6e-07,0.0006
6.05e-07,0.0005
6.1e-07,0.0003
6.15e-07,0.0002
6.2e-07,0.0002
6.25e-07,0.0001
6.3e-07,0.0001
6.35e-07,0.0001
6.4e-07,0.0001
6.45e-07,0.0
6.5e-07,0.0
6.55e-07,0.0
6.6e-07,0.0
6.65e-07,0.0
6.7e-07,0.0
6.75e-07,0.0
6.8e-07,0.0
6.85e-07,0.0
6.9e-07,0.0
6.95e-07,0.0
7e-07,0.0
7.05e-07,0.0
7.1e-07,0.0
7.15e-07,0.0
7.2e-07,0.0
7.25e-07,0.0
7.3e-07,0.0
7.35e-07,0.0
7.4e-07,0.0
7.45e-07,0.0
7.5e-07,0.0
7.55e-07,0.0
7.6e-07,0.0
7.65e-07,0.0
7.7e-07,0.0
7.75e-07,0.0
7.8e-07,0.0
