wavelength,b_bar
3.9e-07,0.012152
3.95e-07,0.03111
4e-07,0.062371
4.05e-07,0.13161
4.1e-07,0.2275
4.15e-07,0.35897
4.2e-07,0.52396
4.25e-07,0.68586
4.3e-07,0.79604
4.35e-07,0.89459
4.4e-07,0.96395
4.45e-07,0.99814
4.5e-07,0.91875
4.55e-07,0.82487
4.6e-07,0.78554
4.65e-07,0.66723
4.7e-07,0.61098
4.75e-07,0.48829
4.8e-07,0.36195
4.85e-07,0.26634
4.9e-07,0.19593
4.95e-07,0.1473
5e-07,0.10749
5.05e-07,0.076714
5.1e-07,0.050248
5.15e-07,0.028781
5.2e-07,0.013309
5.25e-07,0.002117
5.3e-07,-0.0041574
5.35e-07,-0.0083032
5.4e-07,-0.012191
5.45e-07,-0.014039
5.5e-07,-0.014681
5.55e-07,-0.014947
5.6e-07,-0.014613
5.65e-07,-0.013782
5.7e-07,-0.01265
5.75e-07,-0.011356
5.8e-07,-0.0099317
5.85e-07,-0.0084148
5.9e-07,-0.007021
5.95e-07,-0.0057437
6e-07,-0.0042743
6.05e-07,-0.0029132
6.1e-07,-0.0022693
6.15e-07,-0.0019966
6.2e-07,-0.0015069
6.25e-07,-0.00093822
6.3e-07,-0.00055316
6.35e-07,-0.00031668
6.4e-07,-0.00014319
6.45e-07,-4.0831e-06
6.5e-07,0.00011081
6.55e-07,0.00019175
6.6e-07,0.00022656
6.65e-07,0.0002152
6.7e-07,0.00016361
6.75e-07,9.7164e-05
6.8e-07,5.1033e-05
6.85e-07,3.5271e-05
6.9e-07,3.1211e-05
6.95e-07,2.4508e-05
7e-07,1.6521e-05
7.05e-07,1.1124e-05
7.1e-07,8.6965e-06
7.15e-07,7.4351e-06
7.2e-07,6.1057e-06
7.25e-07,5.0277e-06
7.3e-07,4.1251e-06
