wavelength,l_bar
3.9e-07,0.000407619
3.91e-07,0.000497068
3.92e-07,0.000604713
3.93e-07,0.00073364
3.94e-07,0.000887247
3.95e-07,0.00106921
3.96e-07,0.0012834
3.97e-07,0.00153382
3.98e-07,0.00182443
3.99e-07,0.00215896
4e-07,0.00254073
4.01e-07,0.00297282
4.02e-07,0.00345993
4.03e-07,0.00400793
4.04e-07,0.0046237
4.05e-07,0.00531546
4.06e-07,0.00609138
4.07e-07,0.00695291
4.08e-07,0.00789634
4.09e-07,0.008913
4.1e-07,0.00998835
4.11e-07,0.0111054
4.12e-07,0.0122607
4.13e-07,0.0134578
4.14e-07,0.0147044
4.15e-07,0.016013
4.16e-07,0.0173958
4.17e-07,0.0188452
4.18e-07,0.020344
4.19e-07,0.02187
4.2e-07,0.0233957
4.21e-07,0.0248961
4.22e-07,0.0263761
4.23e-07,0.0278541
4.24e-07,0.0293551
4.25e-07,0.0309104
4.26e-07,0.0325498
4.27e-07,0.0342714
4.28e-07,0.036062
4.29e-07,0.0379052
4.3e-07,0.039781
4.31e-07,0.0416705
4.32e-07,0.0435728
4.33e-07,0.0454932
4.34e-07,0.0474385
4.35e-07,0.0494172
4.36e-07,0.0514343
4.37e-07,0.0534735
4.38e-07,0.0555102
4.39e-07,0.0575166
4.4e-07,0.0594619
4.41e-07,0.061324
4.42e-07,0.0631288
4.43e-07,0.0649189
4.44e-07,0.0667425
4.45e-07,0.0686538
4.46e-07,0.0706963
4.47e-07,0.0728508
4.48e-07,0.0750778
4.49e-07,0.0773325
4.5e-07,0.0795647
4.51e-07,0.0817368
4.52e-07,0.0838826
4.53e-07,0.0860598
4.54e-07,0.0883322
4.55e-07,0.0907704
4.56e-07,0.0934397
4.57e-07,0.0963577
4.58e-07,0.0995304
4.59e-07,0.102964
4.6e-07,0.106663
4.61e-07,0.110629
4.62e-07,0.114828
4.63e-07,0.119217
4.64e-07,0.12374
4.65e-07,0.128336
4.66e-07,0.132947
4.67e-07,0.13757
4.68e-07,0.142218
4.69e-07,0.146905
4.7e-07,0.151651
4.71e-07,0.156475
4.72e-07,0.161404
4.73e-07,0.166464
4.74e-07,0.17169
4.75e-07,0.177116
4.76e-07,0.182777
4.77e-07,0.188685
4.78e-07,0.194845
4.79e-07,0.201261
4.8e-07,0.20794
4.81e-07,0.214875
4.82e-07,0.222022
4.83e-07,0.229316
4.84e-07,0.236684
4.85e-07,0.244046
4.86e-07,0.251347
4.87e-07,0.258695
4.88e-07,0.266252
4.89e-07,0.274202
4.9e-07,0.282752
4.91e-07,0.292071
4.92e-07,0.302094
4.93e-07,0.312673
4.94e-07,0.323637
4.95e-07,0.334786
4.96e-07,0.345943
4.97e-07,0.357126
4.98e-07,0.368416
4.99e-07,0.379907
5e-07,0.391705
5.01e-07,0.403905
5.02e-07,0.4165
5.03e-07,0.429453
5.04e-07,0.44272
5.05e-07,0.456252
5.06e-07,0.469997
5.07e-07,0.483926
5.08e-07,0.498012
5.09e-07,0.512227
5.1e-07,0.526538
5.11e-07,0.540923
5.12e-07,0.555406
5.13e-07,0.570025
5.14e-07,0.584828
5.15e-07,0.599867
5.16e-07,0.615162
5.17e-07,0.630569
5.18e-07,0.645883
5.19e-07,0.66088
5.2e-07,0.675313
5.21e-07,0.688975
5.22e-07,0.701886
5.23e-07,0.71414
5.24e-07,0.725841
5.25e-07,0.737108
5.26e-07,0.748046
5.27e-07,0.758684
5.28e-07,0.769032
5.29e-07,0.779099
5.3e-07,0.7889
5.31e-07,0.798472
5.32e-07,0.807945
5.33e-07,0.817478
5.34e-07,0.827239
5.35e-07,0.837403
5.36e-07,0.848078
5.37e-07,0.859064
5.38e-07,0.870068
5.39e-07,0.880779
5.4e-07,0.890871
5.41e-07,0.900057
5.42e-07,0.908253
5.43e-07,0.915433
5.44e-07,0.921575
5.45e-07,0.92666
5.46e-07,0.930744
5.47e-07,0.93416
5.48e-07,0.937318
5.49e-07,0.940634
5.5e-07,0.944527
5.51e-07,0.949291
5.52e-07,0.95468
5.53e-07,0.960309
5.54e-07,0.965785
5.55e-07,0.970703
5.56e-07,0.974756
5.57e-07,0.978055
5.58e-07,0.980819
5.59e-07,0.983271
5.6e-07,0.985636
5.61e-07,0.988085
5.62e-07,0.99056
5.63e-07,0.992945
5.64e-07,0.995124
5.65e-07,0.996979
5.66e-07,0.998411
5.67e-07,0.999391
5.68e-07,0.999912
5.69e-07,0.999965
5.7e-07,0.999543
5.71e-07,0.998615
5.72e-07,0.997051
5.73e-07,0.994701
5.74e-07,0.991416
5.75e-07,0.987057
5.76e-07,0.981599
5.77e-07,0.975451
5.78e-07,0.96912
5.79e-07,0.963093
5.8e-07,0.957841
5.81e-07,0.953664
5.82e-07,0.950236
5.83e-07,0.947086
5.84e-07,0.943752
5.85e-07,0.939781
5.86e-07,0.934826
5.87e-07,0.928917
5.88e-07,0.922177
5.89e-07,0.914729
5.9e-07,0.906693
5.91e-07,0.89817
5.92e-07,0.889188
5.93e-07,0.879759
5.94e-07,0.869894
5.95e-07,0.859605
5.96e-07,0.848912
5.97e-07,0.837865
5.98e-07,0.826522
5.99e-07,0.81494
6e-07,0.803173
6.01e-07,0.791253
6.02e-07,0.779118
6.03e-07,0.766691
6.04e-07,0.7539
6.05e-07,0.74068
6.06e-07,0.726995
6.07e-07,0.712905
6.08e-07,0.698491
6.09e-07,0.683829
6.1e-07,0.668991
6.11e-07,0.654037
6.12e-07,0.638979
6.13e-07,0.623825
6.14e-07,0.608579
6.15e-07,0.593248
6.16e-07,0.577857
6.17e-07,0.562493
6.18e-07,0.547248
6.19e-07,0.532209
6.2e-07,0.517449
6.21e-07,0.502993
6.22e-07,0.488692
6.23e-07,0.474376
6.24e-07,0.459896
6.25e-07,0.445125
6.26e-07,0.430007
6.27e-07,0.414687
6.28e-07,0.39934
6.29e-07,0.384122
6.3e-07,0.369168
6.31e-07,0.35458
6.32e-07,0.340389
6.33e-07,0.326609
6.34e-07,0.313249
6.35e-07,0.300316
6.36e-07,0.287817
6.37e-07,0.275762
6.38e-07,0.264158
6.39e-07,0.253009
6.4e-07,0.242316
6.41e-07,0.232061
6.42e-07,0.222158
6.43e-07,0.212516
6.44e-07,0.20306
6.45e-07,0.19373
6.46e-07,0.184495
6.47e-07,0.175402
6.48e-07,0.166509
6.49e-07,0.157865
6.5e-07,0.149509
6.51e-07,0.14147
6.52e-07,0.13376
6.53e-07,0.126383
6.54e-07,0.119343
6.55e-07,0.112638
6.56e-07,0.106264
6.57e-07,0.100208
6.58e-07,0.0944558
6.59e-07,0.0889934
6.6e-07,0.0838077
6.61e-07,0.0788865
6.62e-07,0.0742191
6.63e-07,0.0697952
6.64e-07,0.065605
6.65e-07,0.0616384
6.66e-07,0.0578857
6.67e-07,0.0543366
6.68e-07,0.0509811
6.69e-07,0.0478096
6.7e-07,0.0448132
6.71e-07,0.0419831
6.72e-07,0.0393111
6.73e-07,0.0367892
6.74e-07,0.0344098
6.75e-07,0.032166
6.76e-07,0.0300509
6.77e-07,0.0280594
6.78e-07,0.0261861
6.79e-07,0.024426
6.8e-07,0.0227738
6.81e-07,0.0212238
6.82e-07,0.0197679
6.83e-07,0.0183986
6.84e-07,0.0171092
6.85e-07,0.0158939
6.86e-07,0.0147492
6.87e-07,0.0136773
6.88e-07,0.0126804
6.89e-07,0.011759
6.9e-07,0.0109123
6.91e-07,0.0101373
6.92e-07,0.00942568
6.93e-07,0.00876917
6.94e-07,0.00816076
6.95e-07,0.00759453
6.96e-07,0.00706588
6.97e-07,0.00657252
6.98e-07,0.00611262
6.99e-07,0.0056844
7e-07,0.00528607
7.01e-07,0.00491573
7.02e-07,0.00457086
7.03e-07,0.00424908
7.04e-07,0.00394832
7.05e-07,0.00366675
7.06e-07,0.00340297
7.07e-07,0.00315632
7.08e-07,0.00292624
7.09e-07,0.00271213
7.1e-07,0.00251327
7.11e-07,0.00232895
7.12e-07,0.00215836
7.13e-07,0.00200071
7.14e-07,0.00185521
7.15e-07,0.00172108
7.16e-07,0.0015975
7.17e-07,0.00148342
7.18e-07,0.00137787
7.19e-07,0.00127998
7.2e-07,0.001189
7.21e-07,0.00110433
7.22e-07,0.00102563
7.23e-07,0.000952602
7.24e-07,0.000884959
7.25e-07,0.000822396
7.26e-07,0.000764585
7.27e-07,0.00071111
7.28e-07,0.00066157
7.29e-07,0.000615612
7.3e-07,0.000572917
7.31e-07,0.000533206
7.32e-07,0.000496234
7.33e-07,0.000461782
7.34e-07,0.000429654
7.35e-07,0.00039967
7.36e-07,0.00037169
7.37e-07,0.00034565
7.38e-07,0.000321494
7.39e-07,0.000299155
7.4e-07,0.000278553
7.41e-07,0.000259583
7.42e-07,0.000242061
7.43e-07,0.000225809
7.44e-07,0.000210674
7.45e-07,0.000196528
7.46e-07,0.000183271
7.47e-07,0.000170868
7.48e-07,0.00015929
7.49e-07,0.000148506
7.5e-07,0.000138482
7.51e-07,0.000129179
7.52e-07,0.000120542
7.53e-07,0.000112519
7.54e-07,0.000105061
7.55e-07,9.81226e-05
7.56e-07,9.16641e-05
7.57e-07,8.56455e-05
7.58e-07,8.00302e-05
7.59e-07,7.47858e-05
7.6e-07,6.98827e-05
7.61e-07,6.52966e-05
7.62e-07,6.10128e-05
7.63e-07,5.70183e-05
7.64e-07,5.32996e-05
7.65e-07,4.9843e-05
7.66e-07,4.66322e-05
7.67e-07,4.36424e-05
7.68e-07,4.08501e-05
7.69e-07,3.82346e-05
7.7e-07,3.57781e-05
7.71e-07,3.34676e-05
7.72e-07,3.13007e-05
7.73e-07,2.92761e-05
7.74e-07,2.73908e-05
7.75e-07,2.56411e-05
7.76e-07,2.40205e-05
7.77e-07,2.2516e-05
7.78e-07,2.11145e-05
7.79e-07,1.98046e-05
7.8e-07,1.85766e-05
7.81e-07,1.74228e-05
7.82e-07,1.63392e-05
7.83e-07,1.53228e-05
7.84e-07,1.43705e-05
7.85e-07,1.34792e-05
7.86e-07,1.26454e-05
7.87e-07,1.18652e-05
7.88e-07,1.11344e-05
7.89e-07,1.04493e-05
7.9e-07,9.80671e-06
7.91e-07,9.20363e-06
7.92e-07,8.63806e-06
7.93e-07,8.10815e-06
7.94e-07,7.61209e-06
7.95e-07,7.14808e-06
7.96e-07,6.71432e-06
7.97e-07,6.30876e-06
7.98e-07,5.92942e-06
7.99e-07,5.5745e-06
8e-07,5.24229e-06
8.01e-07,4.93115e-06
8.02e-07,4.63925e-06
8.03e-07,4.36488e-06
8.04e-07,4.10651e-06
8.05e-07,3.8628e-06
8.06e-07,3.6327e-06
8.07e-07,3.41579e-06
8.08e-07,3.21172e-06
8.09e-07,3.0201e-06
8.1e-07,2.84049e-06
8.11e-07,2.67239e-06
8.12e-07,2.51507e-06
8.13e-07,2.36783e-06
8.14e-07,2.22998e-06
8.15e-07,2.10091e-06
8.16e-07,1.98e-06
8.17e-07,1.86657e-06
8.18e-07,1.75997e-06
8.19e-07,1.65964e-06
8.2e-07,1.56506e-06
8.21e-07,1.4758e-06
8.22e-07,1.3916e-06
8.23e-07,1.31221e-06
8.24e-07,1.23742e-06
8.25e-07,1.167e-06
8.26e-07,1.10072e-06
8.27e-07,1.03839e-06
8.28e-07,9.79788e-07
8.29e-07,9.24725e-07
8.3e-07,8.73008e-07
