wavelength,A
3e-07,0.930483
3.05e-07,1.12821
3.1e-07,1.35769
3.15e-07,1.62219
3.2e-07,1.92508
3.25e-07,2.2698
3.3e-07,2.65981
3.35e-07,3.09861
3.4e-07,3.58968
3.45e-07,4.13648
3.5e-07,4.74238
3.55e-07,5.4107
3.6e-07,6.14462
3.65e-07,6.9472
3.7e-07,7.82135
3.75e-07,8.7698
3.8e-07,9.7951
3.85e-07,10.8996
3.9e-07,12.0853
3.95e-07,13.3543
4e-07,14.708
4.05e-07,16.148
4.1e-07,17.6753
4.15e-07,19.2907
4.2e-07,20.995
4.25e-07,22.7883
4.3e-07,24.6709
4.35e-07,26.6425
4.4e-07,28.7027
4.45e-07,30.8508
4.5e-07,33.0859
4.55e-07,35.4068
4.6e-07,37.8121
4.65e-07,40.3002
4.7e-07,42.8693
4.75e-07,45.5174
4.8e-07,48.2423
4.85e-07,51.0418
4.9e-07,53.9132
4.95e-07,56.8539
5e-07,59.8611
5.05e-07,62.932
5.1e-07,66.0635
5.15e-07,69.2525
5.2e-07,72.4959
5.25e-07,75.7903
5.3e-07,79.1326
5.35e-07,82.5193
5.4e-07,85.947
5.45e-07,89.4124
5.5e-07,92.912
5.55e-07,96.4423
5.6e-07,100.0
5.65e-07,103.582
5.7e-07,107.184
5.75e-07,110.803
5.8e-07,114.436
5.85e-07,118.08
5.9e-07,121.731
5.95e-07,125.386
6e-07,129.043
6.05e-07,132.697
6.1e-07,136.346
6.15e-07,139.988
6.2e-07,143.618
6.25e-07,147.235
6.3e-07,150.836
6.35e-07,154.418
6.4e-07,157.979
6.45e-07,161.516
6.5e-07,165.028
6.55e-07,168.51
6.6e-07,171.963
6.65e-07,175.383
6.7e-07,178.769
6.75e-07,182.118
6.8e-07,185.429
6.85e-07,188.701
6.9e-07,191.931
6.95e-07,195.118
7e-07,198.261
7.05e-07,201.359
7.1e-07,204.409
7.15e-07,207.411
7.2e-07,210.365
7.25e-07,213.268
7.3e-07,216.12
7.35e-07,218.92
7.4e-07,221.667
7.45e-07,224.361
7.5e-07,227.0
7.55e-07,229.585
7.6e-07,232.115
7.65e-07,234.589
7.7e-07,237.008
7.75e-07,239.37
7.8e-07,241.675
