wavelength,C
3e-07,0.0
3.05e-07,0.0
3.1e-07,0.0
3.15e-07,0.0
3.2e-07,0.01
3.25e-07,0.2
3.3e-07,0.4
3.35e-07,1.55
3.4e-07,2.7
3.45e-07,4.85
3.5e-07,7.0
3.55e-07,9.95
3.6e-07,12.9
3.65e-07,17.2
3.7e-07,21.4
3.75e-07,27.5
3.8e-07,33.0
3.85e-07,39.92
3.9e-07,47.4
3.95e-07,55.17
4e-07,63.3
4.05e-07,71.81
4.1e-07,80.6
4.15e-07,89.53
4.2e-07,98.1
4.25e-07,105.8
4.3e-07,112.4
4.35e-07,117.75
4.4e-07,121.5
4.45e-07,123.45
4.5e-07,124.0
4.55e-07,123.6
4.6e-07,123.1
4.65e-07,123.3
4.7e-07,123.8
4.75e-07,124.09
4.8e-07,123.9
4.85e-07,122.92
4.9e-07,120.7
4.95e-07,116.9
5e-07,112.1
5.05e-07,106.98
5.1e-07,102.3
5.15e-07,98.81
5.2e-07,96.9
5.25e-07,96.78
5.3e-07,98.0
5.35e-07,99.94
5.4e-07,102.1
5.45e-07,103.95
5.5e-07,105.2
5.55e-07,105.67
5.6e-07,105.3
5.65e-07,104.11
5.7e-07,102.3
5.75e-07,100.15
5.8e-07,97.8
5.85e-07,95.43
5.9e-07,93.2
5.95e-07,91.22
6e-07,89.7
6.05e-07,88.83
6.1e-07,88.4
6.15e-07,88.19
6.2e-07,88.1
6.25e-07,88.06
6.3e-07,88.0
6.35e-07,87.86
6.4e-07,87.8
6.45e-07,87.99
6.5e-07,88.2
6.55e-07,88.2
6.6e-07,87.9
6.65e-07,87.22
6.7e-07,86.3
6.75e-07,85.3
6.8e-07,84.0
6.85e-07,82.21
6.9e-07,80.2
6.95e-07,78.24
7e-07,76.3
7.05e-07,74.36
7.1e-07,72.4
7.15e-07,70.4
7.2e-07,68.3
7.25e-07,66.3
7.3e-07,64.4
7.35e-07,62.8
7.4e-07,61.5
7.45e-07,60.2
7.5e-07,59.2
7.55e-07,58.5
7.6e-07,58.1
7.65e-07,58.0
7.7e-07,58.2
7.75e-07,58.5
7.8e-07,59.1
