wavelength,E
3.0000000000000004e-07,100.0
3.0500000000000004e-07,100.0
3.1e-07,100.0
3.15e-07,100.0
3.2000000000000001e-07,99.999999999999972
3.2500000000000001e-07,99.999999999999986
3.3000000000000002e-07,100.0
3.3500000000000002e-07,100.0
3.4000000000000003e-07,100.0
3.4500000000000003e-07,99.999999999999986
3.5000000000000004e-07,100.0
3.5500000000000004e-07,100.00000000000001
3.6000000000000005e-07,99.999999999999986
3.65e-07,99.999999999999986
3.7e-07,100.0
3.7500000000000001e-07,99.999999999999972
3.8000000000000001e-07,99.999999999999986
3.8500000000000002e-07,100.0
3.9000000000000002e-07,100.0
3.9500000000000003e-07,100.0
4.0000000000000003e-07,100.0
4.0500000000000004e-07,100.0
4.1000000000000004e-07,100.0
4.1500000000000005e-07,99.999999999999986
4.2e-07,100.0
4.2500000000000001e-07,100.0
4.3000000000000001e-07,100.0
4.3500000000000002e-07,100.0
4.4000000000000002e-07,100.0
4.4500000000000003e-07,100.0
4.5000000000000003e-07,100.0
4.5500000000000004e-07,100.0
4.6000000000000004e-07,100.0
4.6500000000000005e-07,100.0
4.7000000000000005e-07,99.999999999999986
4.75e-07,100.0
4.8000000000000006e-07,100.0
4.8500000000000002e-07,100.0
4.9000000000000007e-07,100.0
4.9500000000000003e-07,100.0
5.0000000000000008e-07,100.0
5.0500000000000004e-07,100.0
5.0999999999999999e-07,100.0
5.1500000000000005e-07,100.0
5.2e-07,100.0
5.2500000000000006e-07,100.0
5.3000000000000001e-07,100.0
5.3500000000000007e-07,100.0
5.4000000000000002e-07,100.0
5.4500000000000008e-07,100.0
5.5000000000000003e-07,100.0
5.5500000000000009e-07,100.0
5.6000000000000004e-07,100.0
5.6499999999999999e-07,100.0
5.7000000000000005e-07,100.0
5.75e-07,100.0
5.8000000000000006e-07,100.0
5.8500000000000001e-07,100.0
5.9000000000000007e-07,100.0
5.9500000000000002e-07,100.0
6.0000000000000008e-07,100.0
6.0500000000000003e-07,100.0
6.1000000000000009e-07,100.0
6.1500000000000004e-07,100.0
6.1999999999999999e-07,100.0
6.2500000000000005e-07,100.0
6.3e-07,100.0
6.3500000000000006e-07,100.0
6.4000000000000001e-07,100.0
6.4500000000000007e-07,100.0
6.5000000000000002e-07,100.0
6.5500000000000008e-07,100.0
6.6000000000000003e-07,100.0
6.6500000000000009e-07,100.0
6.7000000000000004e-07,100.0
6.75e-07,100.0
6.8000000000000005e-07,100.0
6.8500000000000001e-07,100.0
6.9000000000000006e-07,100.0
6.9500000000000002e-07,100.0
7.0000000000000007e-07,100.0
7.0500000000000003e-07,100.0
7.1000000000000008e-07,100.0
7.1500000000000004e-07,100.0
7.2000000000000009e-07,100.0
7.2500000000000005e-07,100.0
7.3e-07,100.0
7.3500000000000006e-07,100.0
7.4000000000000001e-07,100.0
7.4500000000000007e-07,100.0
7.5000000000000002e-07,100.0
7.5500000000000008e-07,100.0
7.6000000000000003e-07,100.0
7.6500000000000009e-07,99.999999999999986
7.7000000000000004e-07,100.0
7.750000000000001e-07,100.0
7.8000000000000005e-07,100.0
