wavelength,F8
3.8e-07,1.21
3.85e-07,1.5
3.9e-07,1.81
3.95e-07,2.13
4e-07,3.17
4.05e-07,13.08
4.1e-07,3.83
4.15e-07,3.45
4.2e-07,3.86
4.25e-07,4.42
4.3e-07,5.09
4.35e-07,34.1
4.4e-07,12.42
4.45e-07,7.68
4.5e-07,8.6
4.55e-07,9.46
4.6e-07,10.24
4.65e-07,10.84
4.7e-07,11.33
4.75e-07,11.71
4.8e-07,11.98
4.85e-07,12.17
4.9e-07,12.28
4.95e-07,12.32
5e-07,12.35
5.05e-07,12.44
5.1e-07,12.55
5.15e-07,12.68
5.2e-07,12.77
5.25e-07,12.72
5.3e-07,12.6
5.35e-07,12.43
5.4e-07,12.22
5.45e-07,28.96
5.5e-07,16.51
5.55e-07,11.79
5.6e-07,11.76
5.65e-07,11.77
5.7e-07,11.84
5.75e-07,14.61
5.8e-07,16.11
5.85e-07,12.34
5.9e-07,12.53
5.95e-07,12.72
6e-07,12.92
6.05e-07,13.12
6.1e-07,13.34
6.15e-07,13.61
6.2e-07,13.87
6.25e-07,14.07
6.3e-07,14.2
6.35e-07,14.16
6.4e-07,14.13
6.45e-07,14.34
6.5e-07,14.5
6.55e-07,14.46
6.6e-07,14.0
6.65e-07,12.58
6.7e-07,10.99
6.75e-07,9.98
6.8e-07,9.22
6.85e-07,8.62
6.9e-07,8.07
6.95e-07,7.39
7e-07,6.71
7.05e-07,6.16
7.1e-07,5.63
7.15e-07,5.03
7.2e-07,4.46
7.25e-07,4.02
7.3e-07,3.66
7.35e-07,3.36
7.4e-07,3.09
7.45e-07,2.85
7.5e-07,2.65
7.55e-07,2.51
7.6e-07,2.37
7.65e-07,2.15
7.7e-07,1.89
7.75e-07,1.61
7.8e-07,1.32
