wavelength,FL7
3.8e-07,2.56
3.85e-07,3.18
3.9e-07,3.84
3.95e-07,4.53
4e-07,6.15
4.05e-07,19.37
4.1e-07,7.37
4.15e-07,7.05
4.2e-07,7.71
4.25e-07,8.41
4.3e-07,9.15
4.35e-07,44.14
4.4e-07,17.52
4.45e-07,11.35
4.5e-07,12.0
4.55e-07,12.58
4.6e-07,13.08
4.65e-07,13.45
4.7e-07,13.71
4.75e-07,13.88
4.8e-07,13.95
4.85e-07,13.93
4.9e-07,13.82
4.95e-07,13.64
5e-07,13.43
5.05e-07,13.25
5.1e-07,13.08
5.15e-07,12.93
5.2e-07,12.78
5.25e-07,12.6
5.3e-07,12.44
5.35e-07,12.33
5.4e-07,12.26
5.45e-07,29.52
5.5e-07,17.05
5.55e-07,12.44
5.6e-07,12.58
5.65e-07,12.72
5.7e-07,12.83
5.75e-07,15.46
5.8e-07,16.75
5.85e-07,12.83
5.9e-07,12.67
5.95e-07,12.45
6e-07,12.19
6.05e-07,11.89
6.1e-07,11.6
6.15e-07,11.35
6.2e-07,11.12
6.25e-07,10.95
6.3e-07,10.76
6.35e-07,10.42
6.4e-07,10.11
6.45e-07,10.04
6.5e-07,10.02
6.55e-07,10.11
6.6e-07,9.87
6.65e-07,8.65
6.7e-07,7.27
6.75e-07,6.44
6.8e-07,5.83
6.85e-07,5.41
6.9e-07,5.04
6.95e-07,4.57
7e-07,4.12
7.05e-07,3.77
7.1e-07,3.46
7.15e-07,3.08
7.2e-07,2.73
7.25e-07,2.47
7.3e-07,2.25
7.35e-07,2.06
7.4e-07,1.9
7.45e-07,1.75
7.5e-07,1.62
7.55e-07,1.54
7.6e-07,1.45
7.65e-07,1.32
7.7e-07,1.17
7.75e-07,0.99
7.8e-07,0.81
