wavelength,LED-B2
3.8e-07,0.0
3.85e-07,-1.08420217249e-19
3.9e-07,8.67361737988e-19
3.95e-07,0.01
4e-07,0.02
4.05e-07,0.05
4.1e-07,0.11
4.15e-07,0.24
4.2e-07,0.5
4.25e-07,0.96
4.3e-07,1.71
4.35e-07,2.82
4.4e-07,4.71
4.45e-07,7.87
4.5e-07,10.56
4.55e-07,10.24
4.6e-07,7.94
4.65e-07,6.25
4.7e-07,5.23
4.75e-07,4.36
4.8e-07,4.0
4.85e-07,4.17
4.9e-07,4.59
4.95e-07,5.21
5e-07,5.96
5.05e-07,6.72
5.1e-07,7.44
5.15e-07,8.11
5.2e-07,8.74
5.25e-07,9.39
5.3e-07,10.06
5.35e-07,10.75
5.4e-07,11.49
5.45e-07,12.25
5.5e-07,13.05
5.55e-07,13.86
5.6e-07,14.7
5.65e-07,15.5
5.7e-07,16.28
5.75e-07,17.0
5.8e-07,17.69
5.85e-07,18.31
5.9e-07,18.83
5.95e-07,19.24
6e-07,19.51
6.05e-07,19.59
6.1e-07,19.48
6.15e-07,19.19
6.2e-07,18.72
6.25e-07,18.1
6.3e-07,17.34
6.35e-07,16.47
6.4e-07,15.51
6.45e-07,14.49
6.5e-07,13.42
6.55e-07,12.33
6.6e-07,11.26
6.65e-07,10.24
6.7e-07,9.25
6.75e-07,8.3
6.8e-07,7.42
6.85e-07,6.6
6.9e-07,5.85
6.95e-07,5.17
7e-07,4.55
7.05e-07,3.99
7.1e-07,3.49
7.15e-07,3.04
7.2e-07,2.65
7.25e-07,2.31
7.3e-07,2.01
7.35e-07,1.75
7.4e-07,1.52
7.45e-07,1.32
7.5e-07,1.15
7.55e-07,1.0
7.6e-07,0.87
7.65e-07,0.76
7.7e-07,0.67
7.75e-07,0.59
7.8e-07,0.52
