wavelength,LED-BH1
3.8e-07,0.0
3.85e-07,0.01
3.9e-07,0.02
3.95e-07,0.04
4e-07,0.08
4.05e-07,0.17
4.1e-07,0.41
4.15e-07,0.93
4.2e-07,1.84
4.25e-07,3.05
4.3e-07,4.29
4.35e-07,5.69
4.4e-07,7.06
4.45e-07,7.91
4.5e-07,7.74
4.55e-07,6.62
4.6e-07,5.13
4.65e-07,3.85
4.7e-07,2.94
4.75e-07,2.34
4.8e-07,1.99
4.85e-07,1.92
4.9e-07,2.19
4.95e-07,2.87
5e-07,4.03
5.05e-07,5.64
5.1e-07,7.49
5.15e-07,9.25
5.2e-07,10.82
5.25e-07,12.11
5.3e-07,13.08
5.35e-07,13.66
5.4e-07,14.01
5.45e-07,14.19
5.5e-07,14.28
5.55e-07,14.27
5.6e-07,14.19
5.65e-07,14.03
5.7e-07,13.82
5.75e-07,13.59
5.8e-07,13.35
5.85e-07,13.2
5.9e-07,13.19
5.95e-07,13.46
6e-07,14.31
6.05e-07,16.15
6.1e-07,19.49
6.15e-07,25.07
6.2e-07,33.87
6.25e-07,40.75
6.3e-07,35.59
6.35e-07,21.59
6.4e-07,11.11
6.45e-07,7.27
6.5e-07,5.58
6.55e-07,4.64
6.6e-07,3.98
6.65e-07,3.48
6.7e-07,3.07
6.75e-07,2.73
6.8e-07,2.42
6.85e-07,2.15
6.9e-07,1.91
6.95e-07,1.7
7e-07,1.5
7.05e-07,1.33
7.1e-07,1.18
7.15e-07,1.05
7.2e-07,0.93
7.25e-07,0.83
7.3e-07,0.74
7.35e-07,0.65
7.4e-07,0.57
7.45e-07,0.51
7.5e-07,0.46
7.55e-07,0.41
7.6e-07,0.37
7.65e-07,0.34
7.7e-07,0.3
7.75e-07,0.28
7.8e-07,0.25
