wavelength,LED-V1
3.8e-07,0.01
3.85e-07,0.03
3.9e-07,0.14
3.95e-07,0.61
4e-07,2.62
4.05e-07,8.43
4.1e-07,16.51
4.15e-07,17.9
4.2e-07,11.26
4.25e-07,5.94
4.3e-07,3.31
4.35e-07,2.25
4.4e-07,2.07
4.45e-07,2.29
4.5e-07,2.68
4.55e-07,3.15
4.6e-07,3.64
4.65e-07,4.18
4.7e-07,4.83
4.75e-07,5.57
4.8e-07,6.4
4.85e-07,7.27
4.9e-07,8.08
4.95e-07,8.73
5e-07,9.21
5.05e-07,9.54
5.1e-07,9.75
5.15e-07,9.91
5.2e-07,10.06
5.25e-07,10.26
5.3e-07,10.51
5.35e-07,10.82
5.4e-07,11.17
5.45e-07,11.55
5.5e-07,11.92
5.55e-07,12.3
5.6e-07,12.68
5.65e-07,13.07
5.7e-07,13.52
5.75e-07,14.06
5.8e-07,14.7
5.85e-07,15.46
5.9e-07,16.38
5.95e-07,17.39
6e-07,18.5
6.05e-07,19.51
6.1e-07,20.52
6.15e-07,21.52
6.2e-07,22.38
6.25e-07,23.07
6.3e-07,23.51
6.35e-07,23.71
6.4e-07,23.67
6.45e-07,23.35
6.5e-07,22.81
6.55e-07,22.01
6.6e-07,21.03
6.65e-07,19.91
6.7e-07,18.69
6.75e-07,17.39
6.8e-07,16.05
6.85e-07,14.69
6.9e-07,13.36
6.95e-07,12.04
7e-07,10.8
7.05e-07,9.62
7.1e-07,8.54
7.15e-07,7.57
7.2e-07,6.68
7.25e-07,5.86
7.3e-07,5.12
7.35e-07,4.46
7.4e-07,3.88
7.45e-07,3.37
7.5e-07,2.94
7.55e-07,2.54
7.6e-07,2.21
7.65e-07,1.9
7.7e-07,1.65
7.75e-07,1.44
7.8e-07,1.22
