wavelength,3-LED-2-(473-545-616)
3.8e-07,8.80700887841e-11
3.85e-07,8.64191446543e-10
3.9e-07,7.48391162993e-09
3.95e-07,5.71969601329e-08
4e-07,3.85777799612e-07
4.05e-07,2.2962473107e-06
4.1e-07,1.20619012713e-05
4.15e-07,5.59149345802e-05
4.2e-07,0.0002287465
4.25e-07,0.0008258399
4.3e-07,0.00263119
4.35e-07,0.0073981747
4.4e-07,0.0183579
4.45e-07,0.0402192904
4.5e-07,0.078214713
4.55e-07,0.1400875209
4.6e-07,0.25800504
4.65e-07,0.5069658632
4.7e-07,0.8461217331
4.75e-07,0.9560963501
4.8e-07,0.6977648778
4.85e-07,0.3786723063
4.9e-07,0.2046505176
4.95e-07,0.1293006169
5e-07,0.0949193874
5.05e-07,0.0868699571
5.1e-07,0.1011645711
5.15e-07,0.135550451
5.2e-07,0.1945767516
5.25e-07,0.2964280287
5.3e-07,0.4664464991
5.35e-07,0.6996200151
5.4e-07,0.9177525438
5.45e-07,0.9994051553
5.5e-07,0.8903170437
5.55e-07,0.6620178366
5.6e-07,0.4355346571
5.65e-07,0.2772581962
5.7e-07,0.1845032445
5.75e-07,0.1324452174
5.8e-07,0.1073694431
5.85e-07,0.1101780705
5.9e-07,0.1488758406
5.95e-07,0.2331869395
6e-07,0.3917042764
6.05e-07,0.737921343
6.1e-07,1.3841944984
6.15e-07,1.9510279141
6.2e-07,1.7794979544
6.25e-07,1.0887186669
6.3e-07,0.5550635406
6.35e-07,0.2996143988
6.4e-07,0.1676834956
6.45e-07,0.0868592197
6.5e-07,0.0399750379
6.55e-07,0.0162446511
6.6e-07,0.0058258274
6.65e-07,0.0018438235
6.7e-07,0.0005149855
6.75e-07,0.0001269359
6.8e-07,2.7611334707e-05
6.85e-07,5.30034610853e-06
6.9e-07,8.97914635951e-07
6.95e-07,1.34239493903e-07
7e-07,1.77109091256e-08
7.05e-07,2.06214112322e-09
7.1e-07,2.1189285938e-10
7.15e-07,1.92150692517e-11
7.2e-07,1.53784122218e-12
7.25e-07,1.08633288257e-13
7.3e-07,6.77469739707e-15
7.35e-07,3.73195251198e-16
7.4e-07,1.81873749533e-17
7.45e-07,7.87622127845e-19
7.5e-07,3.07135726432e-20
7.55e-07,1.12157337264e-21
7.6e-07,4.24390696454e-23
7.65e-07,1.96520133985e-24
7.7e-07,1.19562718661e-25
7.75e-07,8.49126403034e-27
7.8e-07,6.18707499979e-28
