wavelength,4-LED Yellow
3.8e-07,8.34073345191e-07
3.85e-07,4.62309206822e-06
3.9e-07,2.26138576312e-05
3.95e-07,9.76181321599e-05
4e-07,0.0003718777
4.05e-07,0.0012502119
4.1e-07,0.0037092106
4.15e-07,0.0097117231
4.2e-07,0.0224430372
4.25e-07,0.0458645624
4.3e-07,0.0843479754
4.35e-07,0.1509992844
4.4e-07,0.2926113259
4.45e-07,0.5430706712
4.5e-07,0.7376612506
4.55e-07,0.6455081538
4.6e-07,0.3853224168
4.65e-07,0.2000431541
4.7e-07,0.11622805
4.75e-07,0.077645951
4.8e-07,0.0620623017
4.85e-07,0.0653287242
4.9e-07,0.0850069785
4.95e-07,0.1197520208
5e-07,0.1734854602
5.05e-07,0.2619073927
5.1e-07,0.4116390053
5.15e-07,0.6318025046
5.2e-07,0.8661395277
5.25e-07,0.9961648708
5.3e-07,0.9382724574
5.35e-07,0.7325090806
5.4e-07,0.5005388519
5.45e-07,0.3334567263
5.5e-07,0.2492404075
5.55e-07,0.2295846621
5.6e-07,0.2608490286
5.65e-07,0.3646989969
5.7e-07,0.6327523963
5.75e-07,1.0793281438
5.8e-07,1.3339290091
5.85e-07,1.0720260109
5.9e-07,0.623012768
5.95e-07,0.3642920241
6e-07,0.2900835662
6.05e-07,0.3167957643
6.1e-07,0.447506532
6.15e-07,0.7977401989
6.2e-07,1.4502472884
6.25e-07,1.9611037213
6.3e-07,1.712516401
6.35e-07,1.0169222215
6.4e-07,0.5173345935
6.45e-07,0.2816360425
6.5e-07,0.157068211
6.55e-07,0.0805061621
6.6e-07,0.0366130494
6.65e-07,0.0147005543
6.7e-07,0.0052089819
6.75e-07,0.0016288664
6.8e-07,0.0004495017
6.85e-07,0.0001094688
6.9e-07,2.3526784784e-05
6.95e-07,4.46218942905e-06
7e-07,7.4687275369e-07
7.05e-07,1.10321058401e-07
7.1e-07,1.43808121343e-08
7.15e-07,1.65432790631e-09
7.2e-07,1.67947277647e-10
7.25e-07,1.50465707332e-11
7.3e-07,1.18963924723e-12
7.35e-07,8.30053768969e-14
7.4e-07,5.11105269286e-15
7.45e-07,2.77733125345e-16
7.5e-07,1.3318588334e-17
7.55e-07,5.63640124929e-19
7.6e-07,2.10503250552e-20
7.65e-07,6.93791409317e-22
7.7e-07,2.0179586607e-23
7.75e-07,5.17975154307e-25
7.8e-07,1.17332723412e-26
