wavelength,60 AW (Soft White)
3.8e-07,0.0221129274
3.85e-07,0.0257550191
3.9e-07,0.0303031416
3.95e-07,0.0402040843
4e-07,0.0502272809
4.05e-07,0.0596287164
4.1e-07,0.0685435436
4.15e-07,0.077222055
4.2e-07,0.0842087617
4.25e-07,0.0913199149
4.3e-07,0.0997370726
4.35e-07,0.1084944259
4.4e-07,0.1161691811
4.45e-07,0.1253379906
4.5e-07,0.1346917959
4.55e-07,0.1450470777
4.6e-07,0.1556685203
4.65e-07,0.1666161272
4.7e-07,0.1769997332
4.75e-07,0.1890140662
4.8e-07,0.1994984692
4.85e-07,0.2107503575
4.9e-07,0.2230259107
4.95e-07,0.2349042653
5e-07,0.2477963468
5.05e-07,0.2611051126
5.1e-07,0.2735574457
5.15e-07,0.2873463379
5.2e-07,0.3007511829
5.25e-07,0.3148017537
5.3e-07,0.3286265485
5.35e-07,0.3429364606
5.4e-07,0.3581597726
5.45e-07,0.3732534755
5.5e-07,0.3883420369
5.55e-07,0.403987105
5.6e-07,0.4203674722
5.65e-07,0.4365160648
5.7e-07,0.4523056904
5.75e-07,0.4682869076
5.8e-07,0.4841530664
5.85e-07,0.5003725619
5.9e-07,0.5164160981
5.95e-07,0.5325415882
6e-07,0.5488244682
6.05e-07,0.5647150329
6.1e-07,0.5807535747
6.15e-07,0.5966998519
6.2e-07,0.6119241813
6.25e-07,0.627620854
6.3e-07,0.6424901113
6.35e-07,0.6578064624
6.4e-07,0.6733141181
6.45e-07,0.6882633218
6.5e-07,0.7030623147
6.55e-07,0.7181948129
6.6e-07,0.7331525555
6.65e-07,0.747833052
6.7e-07,0.7640991255
6.75e-07,0.7810516508
6.8e-07,0.7982514269
6.85e-07,0.8127518501
6.9e-07,0.8278508335
6.95e-07,0.8406662389
7e-07,0.8528341711
7.05e-07,0.8651898991
7.1e-07,0.8808045146
7.15e-07,0.892185268
7.2e-07,0.9049681735
7.25e-07,0.9194588124
7.3e-07,0.9303931443
7.35e-07,0.9382116765
7.4e-07,0.9519940858
7.45e-07,0.9669876832
7.5e-07,0.9766525623
7.55e-07,0.9854043089
7.6e-07,1.0
7.65e-07,0.9669876832
7.7e-07,0.9766525623
7.75e-07,0.9854043089
7.8e-07,1.0
