wavelength,C100S54-(HPS)
3.8e-07,0.0090968865
3.85e-07,0.0099177519
3.9e-07,0.0106049886
3.95e-07,0.0118222306
4e-07,0.0130802917
4.05e-07,0.0162752042
4.1e-07,0.0154438614
4.15e-07,0.0171300107
4.2e-07,0.019300898
4.25e-07,0.0215427439
4.3e-07,0.023802917
4.35e-07,0.0310645301
4.4e-07,0.0308492469
4.45e-07,0.0271089809
4.5e-07,0.0473087634
4.55e-07,0.0296505586
4.6e-07,0.0211678708
4.65e-07,0.0696258418
4.7e-07,0.0607626697
4.75e-07,0.0261534996
4.8e-07,0.0093411354
4.85e-07,0.0076708609
4.9e-07,0.0137424517
4.95e-07,0.1034773639
5e-07,0.1711343827
5.05e-07,0.0157226389
5.1e-07,0.0116384986
5.15e-07,0.0453171888
5.2e-07,0.0146582087
5.25e-07,0.0090060877
5.3e-07,0.0098520672
5.35e-07,0.0104241916
5.4e-07,0.0125060396
5.45e-07,0.0242909072
5.5e-07,0.0473687103
5.55e-07,0.0627444986
5.6e-07,0.0770812304
5.65e-07,0.3741275185
5.7e-07,0.772618931
5.75e-07,0.2356295989
5.8e-07,0.4404894198
5.85e-07,0.7918076664
5.9e-07,0.4382078409
5.95e-07,1.0
6e-07,0.7325059828
6.05e-07,0.4736253635
6.1e-07,0.3283190711
6.15e-07,0.4094756278
6.2e-07,0.2398795364
6.25e-07,0.1612392829
6.3e-07,0.1372507355
6.35e-07,0.1200033997
6.4e-07,0.1074424158
6.45e-07,0.0978274984
6.5e-07,0.0879659781
6.55e-07,0.0844149672
6.6e-07,0.0764205503
6.65e-07,0.0729728994
6.7e-07,0.0819054466
6.75e-07,0.0772196909
6.8e-07,0.0593104899
6.85e-07,0.0444799728
6.9e-07,0.036451407
6.95e-07,0.0339297355
7e-07,0.0337682865
7.05e-07,0.0336553942
7.1e-07,0.0298482475
7.15e-07,0.0284354813
7.2e-07,0.0282247418
7.25e-07,0.0266439404
7.3e-07,0.0264402189
7.35e-07,0.0269007884
7.4e-07,0.0277447911
7.45e-07,0.0290665851
7.5e-07,0.0318508294
7.55e-07,0.030043758
7.6e-07,0.0343141879
7.65e-07,0.0290665851
7.7e-07,0.0318508294
7.75e-07,0.030043758
7.8e-07,0.0343141879
