wavelength,C100S54C (HPS)
3.8e-07,0.0
3.85e-07,0.0091384562
3.9e-07,0.0210275171
3.95e-07,0.0231912726
4e-07,0.0253773899
4.05e-07,0.0261423984
4.1e-07,0.0285988157
4.15e-07,0.0341146113
4.2e-07,0.0397250713
4.25e-07,0.0427896702
4.3e-07,0.0510652364
4.35e-07,0.0618978774
4.4e-07,0.0628896188
4.45e-07,0.0682864066
4.5e-07,0.0903139409
4.55e-07,0.0699544686
4.6e-07,0.06677602
4.65e-07,0.1322128264
4.7e-07,0.1081492818
4.75e-07,0.061416055
4.8e-07,0.0386796956
4.85e-07,0.0453551033
4.9e-07,0.0618227042
4.95e-07,0.2000545826
5e-07,0.2041763817
5.05e-07,0.0645323922
5.1e-07,0.0710887037
5.15e-07,0.1090452304
5.2e-07,0.0660379682
5.25e-07,0.0663666564
5.3e-07,0.0707134625
5.35e-07,0.0770449812
5.4e-07,0.0901472313
5.45e-07,0.1480823084
5.5e-07,0.3086733458
5.55e-07,0.3697682599
5.6e-07,0.4374965183
5.65e-07,0.8355054906
5.7e-07,1.0
5.75e-07,0.7933887682
5.8e-07,0.6343186245
5.85e-07,0.1461176703
5.9e-07,0.0711998311
5.95e-07,0.3361999098
6e-07,0.7571333272
6.05e-07,0.8808780535
6.1e-07,0.8414420095
6.15e-07,0.8592433929
6.2e-07,0.6516002626
6.25e-07,0.57181946
6.3e-07,0.5123980617
6.35e-07,0.4649878759
6.4e-07,0.424047865
6.45e-07,0.3912030788
6.5e-07,0.3539753745
6.55e-07,0.3414936119
6.6e-07,0.3116194982
6.65e-07,0.3140716238
6.7e-07,0.3263098522
6.75e-07,0.2976349896
6.8e-07,0.2424455172
6.85e-07,0.2002338948
6.9e-07,0.1788421275
6.95e-07,0.1687568712
7e-07,0.1621922015
7.05e-07,0.1559086034
7.1e-07,0.1542434667
7.15e-07,0.1488947756
7.2e-07,0.1429461515
7.25e-07,0.1404206219
7.3e-07,0.1378455835
7.35e-07,0.1397081601
7.4e-07,0.1392581783
7.45e-07,0.1421969643
7.5e-07,0.1445350862
7.55e-07,0.1425608179
7.6e-07,0.1393291025
7.65e-07,0.1421969643
7.7e-07,0.1445350862
7.75e-07,0.1425608179
7.8e-07,0.1393291025
