wavelength,Cool White FL
3.8e-07,0.03353465
3.85e-07,0.04082136
3.9e-07,0.04995733
3.95e-07,0.07760631
4e-07,0.16214621
4.05e-07,0.16590101
4.1e-07,0.13939696
4.15e-07,0.09848528
4.2e-07,0.11529654
4.25e-07,0.15309344
4.3e-07,0.36138529
4.35e-07,1.0
4.4e-07,0.47411464
4.45e-07,0.14508605
4.5e-07,0.1810411
4.55e-07,0.19408335
4.6e-07,0.20570331
4.65e-07,0.21481297
4.7e-07,0.21981937
4.75e-07,0.21775708
4.8e-07,0.2178353
4.85e-07,0.22045228
4.9e-07,0.2246551
4.95e-07,0.22158299
5e-07,0.21617124
5.05e-07,0.21068127
5.1e-07,0.21048215
5.15e-07,0.21334803
5.2e-07,0.22029583
5.25e-07,0.23525103
5.3e-07,0.25610155
5.35e-07,0.28776845
5.4e-07,0.33889916
5.45e-07,0.58557104
5.5e-07,0.56871711
5.55e-07,0.46039681
5.6e-07,0.51555255
5.65e-07,0.55145783
5.7e-07,0.58860048
5.75e-07,0.62758498
5.8e-07,0.63406343
5.85e-07,0.61005547
5.9e-07,0.57386574
5.95e-07,0.54071256
6e-07,0.49833594
6.05e-07,0.45226141
6.1e-07,0.40404637
6.15e-07,0.35870431
6.2e-07,0.31634903
6.25e-07,0.27832456
6.3e-07,0.24633765
6.35e-07,0.21325558
6.4e-07,0.18414166
6.45e-07,0.15840563
6.5e-07,0.13439056
6.55e-07,0.11421562
6.6e-07,0.09677144
6.65e-07,0.08196558
6.7e-07,0.07098848
6.75e-07,0.06217537
6.8e-07,0.05450292
6.85e-07,0.04630778
6.9e-07,0.04167046
6.95e-07,0.03630351
7e-07,0.02957687
7.05e-07,0.02720381
7.1e-07,0.02373489
7.15e-07,0.02041104
7.2e-07,0.01877542
7.25e-07,0.01705945
7.3e-07,0.0156962
7.35e-07,0.01469208
7.4e-07,0.0137228
7.45e-07,0.0129249
7.5e-07,0.01240649
7.55e-07,0.01231262
7.6e-07,0.01899801
7.65e-07,0.01817522
7.7e-07,0.01183473
7.75e-07,0.00953278
7.8e-07,0.00920353
