wavelength,F32T8TL865 PLUS (Triphosphor)
3.8e-07,0.0043823207
3.85e-07,0.0033077391
3.9e-07,0.0028637083
3.95e-07,0.0034943154
4e-07,0.0225614013
4.05e-07,0.1105476556
4.1e-07,0.0322815394
4.15e-07,0.0415501393
4.2e-07,0.063551369
4.25e-07,0.0909093192
4.3e-07,0.1201837671
4.35e-07,0.4825506923
4.4e-07,0.2421687535
4.45e-07,0.1828880978
4.5e-07,0.187122143
4.55e-07,0.1824460215
4.6e-07,0.1697975179
4.65e-07,0.1520867073
4.7e-07,0.1326169314
4.75e-07,0.1126467277
4.8e-07,0.1101510479
4.85e-07,0.2153209287
4.9e-07,0.2482022546
4.95e-07,0.1728467413
5e-07,0.1133590119
5.05e-07,0.0986272158
5.1e-07,0.1252563625
5.15e-07,0.1332386255
5.2e-07,0.1134850002
5.25e-07,0.0904252796
5.3e-07,0.073517476
5.35e-07,0.0842961431
5.4e-07,0.4714323093
5.45e-07,1.0
5.5e-07,0.3368727011
5.55e-07,0.0996714846
5.6e-07,0.0257786896
5.65e-07,0.0157759505
5.7e-07,0.0142415938
5.75e-07,0.0515815998
5.8e-07,0.1540021672
5.85e-07,0.2241079847
5.9e-07,0.184008283
5.95e-07,0.0923404265
6e-07,0.064830008
6.05e-07,0.0543302323
6.1e-07,0.5551932941
6.15e-07,0.4266333793
6.2e-07,0.1821410168
6.25e-07,0.1261687212
6.3e-07,0.1147738242
6.35e-07,0.0392044079
6.4e-07,0.017662259
6.45e-07,0.0223032575
6.5e-07,0.0385153629
6.55e-07,0.0213258032
6.6e-07,0.0198621019
6.65e-07,0.0240749219
6.7e-07,0.0196624734
6.75e-07,0.0167483225
6.8e-07,0.0187533176
6.85e-07,0.0185158469
6.9e-07,0.018830799
6.95e-07,0.0142610066
7e-07,0.0069909868
7.05e-07,0.0407048656
7.1e-07,0.0661393532
7.15e-07,0.0217274474
7.2e-07,0.0051763784
7.25e-07,0.0054575445
7.3e-07,0.0054516295
7.35e-07,0.0064123646
7.4e-07,0.007013266
7.45e-07,0.0072031048
7.5e-07,0.007504532
7.55e-07,0.0070549007
7.6e-07,0.0062780959
7.65e-07,0.0072031048
7.7e-07,0.007504532
7.75e-07,0.0070549007
7.8e-07,0.0062780959
