wavelength,F34T12LWRS EW
3.8e-07,0.0138848383
3.85e-07,0.0171879452
3.9e-07,0.0227765198
3.95e-07,0.027505215
4e-07,0.0752379474
4.05e-07,0.3076328626
4.1e-07,0.0839002976
4.15e-07,0.0736568783
4.2e-07,0.094751759
4.25e-07,0.1187820125
4.3e-07,0.1382036806
4.35e-07,1.0
4.4e-07,0.3694732556
4.45e-07,0.1990428182
4.5e-07,0.2053275681
4.55e-07,0.2051279183
4.6e-07,0.2000384871
4.65e-07,0.1904478584
4.7e-07,0.1793075582
4.75e-07,0.1668603797
4.8e-07,0.1562015196
4.85e-07,0.149707559
4.9e-07,0.1435723367
4.95e-07,0.1322450142
5e-07,0.1233031149
5.05e-07,0.1204208272
5.1e-07,0.1234975304
5.15e-07,0.134318215
5.2e-07,0.1541719542
5.25e-07,0.1861260371
5.3e-07,0.2310164203
5.35e-07,0.2892904604
5.4e-07,0.3668337864
5.45e-07,0.8867757955
5.5e-07,0.6087014152
5.55e-07,0.5695756218
5.6e-07,0.6199534205
5.65e-07,0.6562808287
5.7e-07,0.674460303
5.75e-07,0.7187743351
5.8e-07,0.7228108672
5.85e-07,0.6333188074
5.9e-07,0.5876924651
5.95e-07,0.5340168668
6e-07,0.4798324565
6.05e-07,0.4251412723
6.1e-07,0.3897858071
6.15e-07,0.3374283272
6.2e-07,0.2842580341
6.25e-07,0.2411544413
6.3e-07,0.2049966527
6.35e-07,0.1715543773
6.4e-07,0.1430742195
6.45e-07,0.1205364592
6.5e-07,0.1014617091
6.55e-07,0.0835511732
6.6e-07,0.0702517604
6.65e-07,0.0589828511
6.7e-07,0.0502305102
6.75e-07,0.0412751645
6.8e-07,0.0349900959
6.85e-07,0.029427307
6.9e-07,0.0280600741
6.95e-07,0.0215273175
7e-07,0.0179181411
7.05e-07,0.0166605086
7.1e-07,0.0143728475
7.15e-07,0.0121928999
7.2e-07,0.009649029
7.25e-07,0.0077380228
7.3e-07,0.0074911718
7.35e-07,0.0061265527
7.4e-07,0.0056868169
7.45e-07,0.0048038975
7.5e-07,0.005863369
7.55e-07,0.0077827634
7.6e-07,0.0553820445
7.65e-07,0.0048038975
7.7e-07,0.005863369
7.75e-07,0.0077827634
7.8e-07,0.0553820445
