wavelength,F34T12WWRS EW (Warm White FL)
3.8e-07,0.0183484283
3.85e-07,0.0208397838
3.9e-07,0.0263238473
3.95e-07,0.0306592764
4e-07,0.0858568428
4.05e-07,0.3480702794
4.1e-07,0.0738426812
4.15e-07,0.0510478385
4.2e-07,0.0573551487
4.25e-07,0.0630044835
4.3e-07,0.066094768
4.35e-07,1.0
4.4e-07,0.2808758832
4.45e-07,0.0845477925
4.5e-07,0.0886660961
4.55e-07,0.0925509194
4.6e-07,0.0960558012
4.65e-07,0.0988932529
4.7e-07,0.10103835
4.75e-07,0.1021411401
4.8e-07,0.1022015621
4.85e-07,0.1015821574
4.9e-07,0.1022912413
4.95e-07,0.1004712706
5e-07,0.0990989351
5.05e-07,0.0992901353
5.1e-07,0.1012042093
5.15e-07,0.1068412295
5.2e-07,0.1188400824
5.25e-07,0.1384844021
5.3e-07,0.1685760845
5.35e-07,0.2108284301
5.4e-07,0.2595929586
5.45e-07,0.8292231902
5.5e-07,0.5258526196
5.55e-07,0.4973028957
5.6e-07,0.5816710875
5.65e-07,0.6598568545
5.7e-07,0.7244036111
5.75e-07,0.8236679678
5.8e-07,0.8658776093
5.85e-07,0.8033235537
5.9e-07,0.7870124681
5.95e-07,0.753849179
6e-07,0.7068119021
6.05e-07,0.6514878532
6.1e-07,0.5918101178
6.15e-07,0.5292842525
6.2e-07,0.4678152456
6.25e-07,0.4103694433
6.3e-07,0.3552523607
6.35e-07,0.3056965652
6.4e-07,0.2621855754
6.45e-07,0.2250804317
6.5e-07,0.1912370778
6.55e-07,0.1611917424
6.6e-07,0.1369045554
6.65e-07,0.1159050285
6.7e-07,0.098304749
6.75e-07,0.0828024517
6.8e-07,0.0695111365
6.85e-07,0.0589762767
6.9e-07,0.0527022717
6.95e-07,0.043108817
7e-07,0.0369743858
7.05e-07,0.0317352438
7.1e-07,0.0278560368
7.15e-07,0.0245954652
7.2e-07,0.0225711563
7.25e-07,0.021051978
7.3e-07,0.0184096802
7.35e-07,0.0162207543
7.4e-07,0.0165685445
7.45e-07,0.0162500215
7.5e-07,0.0154892424
7.55e-07,0.0161230441
7.6e-07,0.0941165395
7.65e-07,0.0162500215
7.7e-07,0.0154892424
7.75e-07,0.0161230441
7.8e-07,0.0941165395
