wavelength,H38HT-100 (Mercury)
3.8e-07,0.0
3.85e-07,0.0116674647
3.9e-07,0.0303725622
3.95e-07,0.0259688468
4e-07,0.1433438465
4.05e-07,0.3487975023
4.1e-07,0.0529924118
4.15e-07,0.0250126139
4.2e-07,0.0265268005
4.25e-07,0.0399770869
4.3e-07,0.1394781146
4.35e-07,0.8115180896
4.4e-07,0.1198900128
4.45e-07,0.0318914583
4.5e-07,0.0231482617
4.55e-07,0.0202224835
4.6e-07,0.018123222
4.65e-07,0.0175848606
4.7e-07,0.0176403016
4.75e-07,0.016567826
4.8e-07,0.0162244063
4.85e-07,0.0186455924
4.9e-07,0.0275746264
4.95e-07,0.0203361856
5e-07,0.014912398
5.05e-07,0.01459063
5.1e-07,0.0155189187
5.15e-07,0.0159060586
5.2e-07,0.016563821
5.25e-07,0.0178337875
5.3e-07,0.021714274
5.35e-07,0.0319494122
5.4e-07,0.1094776103
5.45e-07,1.0
5.5e-07,0.1912029904
5.55e-07,0.0341638108
5.6e-07,0.0280001251
5.65e-07,0.0281671685
5.7e-07,0.0485844681
5.75e-07,0.692966307
5.8e-07,0.4546454502
5.85e-07,0.0360948637
5.9e-07,0.0240272032
5.95e-07,0.0191764014
6e-07,0.0169633167
6.05e-07,0.015165037
6.1e-07,0.0137479525
6.15e-07,0.0132527319
6.2e-07,0.0140674828
6.25e-07,0.0132181268
6.3e-07,0.0123665772
6.35e-07,0.0117390118
6.4e-07,0.0104464888
6.45e-07,0.0111491975
6.5e-07,0.0110394743
6.55e-07,0.0114700945
6.6e-07,0.0109632795
6.65e-07,0.0105090841
6.7e-07,0.0112744755
6.75e-07,0.0095615242
6.8e-07,0.0107455314
6.85e-07,0.0136921704
6.9e-07,0.021856513
6.95e-07,0.0096899463
7e-07,0.0103380482
7.05e-07,0.0131022477
7.1e-07,0.0117797223
7.15e-07,0.0091521454
7.2e-07,0.0097539396
7.25e-07,0.0089041
7.3e-07,0.0107792269
7.35e-07,0.0101288172
7.4e-07,0.0098136832
7.45e-07,0.0076255603
7.5e-07,0.0100327823
7.55e-07,0.0100743277
7.6e-07,0.0068657463
7.65e-07,0.0850852124
7.7e-07,0.0864842549
7.75e-07,0.0853029284
7.8e-07,0.0833691938
