wavelength,HPS
3.8e-07,0.0083939426
3.85e-07,0.0091861681
3.9e-07,0.0106542846
3.95e-07,0.0114932882
4e-07,0.0131247036
4.05e-07,0.0158681257
4.1e-07,0.0163525586
4.15e-07,0.0181997788
4.2e-07,0.02066263
4.25e-07,0.0225881478
4.3e-07,0.025273488
4.35e-07,0.0296422972
4.4e-07,0.0338150024
4.45e-07,0.0245030817
4.5e-07,0.0553529381
4.55e-07,0.0297319885
4.6e-07,0.0182223227
4.65e-07,0.0766598291
4.7e-07,0.0671995795
4.75e-07,0.0321898269
4.8e-07,0.0094290132
4.85e-07,0.0093821666
4.9e-07,0.0164154361
4.95e-07,0.0839860177
5e-07,0.2406839993
5.05e-07,0.0172085715
5.1e-07,0.0135166403
5.15e-07,0.0664860656
5.2e-07,0.0153956573
5.25e-07,0.0136191416
5.3e-07,0.0144758902
5.35e-07,0.0155227857
5.4e-07,0.0179781419
5.45e-07,0.0275498773
5.5e-07,0.0769794223
5.55e-07,0.1049451167
5.6e-07,0.1212042397
5.65e-07,0.3100762088
5.7e-07,0.9172816352
5.75e-07,0.3408922708
5.8e-07,0.6161317021
5.85e-07,0.8283991671
5.9e-07,0.1896168896
5.95e-07,0.9468979952
6e-07,0.7797498862
6.05e-07,0.5167643807
6.1e-07,0.359974244
6.15e-07,0.4429134241
6.2e-07,0.2233351421
6.25e-07,0.1751267514
6.3e-07,0.1491407729
6.35e-07,0.130860325
6.4e-07,0.1161016569
6.45e-07,0.1058507931
6.5e-07,0.093576623
6.55e-07,0.0905438868
6.6e-07,0.081530368
6.65e-07,0.0777937264
6.7e-07,0.0847872834
6.75e-07,0.0782668774
6.8e-07,0.0630587114
6.85e-07,0.0499039257
6.9e-07,0.0434748752
6.95e-07,0.0403923575
7e-07,0.0383675279
7.05e-07,0.0375213958
7.1e-07,0.0363709696
7.15e-07,0.0353301907
7.2e-07,0.0346478936
7.25e-07,0.033952096
7.3e-07,0.0334741327
7.35e-07,0.0336122169
7.4e-07,0.0340848695
7.45e-07,0.0337961699
7.5e-07,0.0377687065
7.55e-07,0.0340889904
7.6e-07,0.0333492551
7.65e-07,0.0802690011
7.7e-07,0.0540981011
7.75e-07,0.032648666
7.8e-07,0.0352925378
