wavelength,Luxeon WW 2880
3.8e-07,0.0
3.85e-07,0.0
3.9e-07,0.0
3.95e-07,0.0
4e-07,2.297e-06
4.05e-07,1.888118e-06
4.1e-07,4.188269e-06
4.15e-07,6.39813e-06
4.2e-07,1.0205089e-05
4.25e-07,1.6262e-05
4.3e-07,2.1840675e-05
4.35e-07,2.550531e-05
4.4e-07,2.8897053e-05
4.45e-07,3.2024138e-05
4.5e-07,3.6703116e-05
4.55e-07,4.6088e-05
4.6e-07,6.079116e-05
4.65e-07,7.6763604e-05
4.7e-07,8.5592517e-05
4.75e-07,8.5690075e-05
4.8e-07,8.8373579e-05
4.85e-07,9.3201104e-05
4.9e-07,9.6155462e-05
4.95e-07,9.72416e-05
5e-07,0.0001027841
5.05e-07,0.0001101095
5.1e-07,0.0001201343
5.15e-07,0.0001313546
5.2e-07,0.0001443337
5.25e-07,0.0001567982
5.3e-07,0.0001679092
5.35e-07,0.000178065
5.4e-07,0.0001880002
5.45e-07,0.0001978362
5.5e-07,0.0002061661
5.55e-07,0.0002138138
5.6e-07,0.0002206354
5.65e-07,0.0002265298
5.7e-07,0.0002312203
5.75e-07,0.0002352487
5.8e-07,0.0002393245
5.85e-07,0.000243409
5.9e-07,0.0002480589
5.95e-07,0.000252773
6e-07,0.0002589091
6.05e-07,0.0002670975
6.1e-07,0.0002777688
6.15e-07,0.0002878879
6.2e-07,0.0002990376
6.25e-07,0.0003091711
6.3e-07,0.0003174115
6.35e-07,0.0003227167
6.4e-07,0.0003212741
6.45e-07,0.0003154946
6.5e-07,0.0003036808
6.55e-07,0.0002880347
6.6e-07,0.0002668517
6.65e-07,0.000244548
6.7e-07,0.0002222251
6.75e-07,0.000196939
6.8e-07,0.0001731562
6.85e-07,0.000150151
6.9e-07,0.0001298548
6.95e-07,0.0001102309
7e-07,9.3293572e-05
7.05e-07,7.8635792e-05
7.1e-07,6.6303267e-05
7.15e-07,5.4851252e-05
7.2e-07,4.5785265e-05
7.25e-07,3.7650458e-05
7.3e-07,3.2428674e-05
7.35e-07,2.7001749e-05
7.4e-07,2.1683091e-05
7.45e-07,1.9283911e-05
7.5e-07,1.6191315e-05
7.55e-07,1.4043547e-05
7.6e-07,1.1397697e-05
7.65e-07,1.0039448e-05
7.7e-07,8.9298495e-06
7.75e-07,7.617748e-06
7.8e-07,7.001642e-06
