wavelength,MHC100-U-MP--3K
3.8e-07,0.0376147854
3.85e-07,0.0647066508
3.9e-07,0.0898482711
3.95e-07,0.1179908314
4e-07,0.1231236348
4.05e-07,0.1670751377
4.1e-07,0.2041234293
4.15e-07,0.2397149418
4.2e-07,0.2972040744
4.25e-07,0.2510951821
4.3e-07,0.1869314047
4.35e-07,0.2673806897
4.4e-07,0.2226429896
4.45e-07,0.1856918819
4.5e-07,0.1748492864
4.55e-07,0.1962595435
4.6e-07,0.2112985571
4.65e-07,0.1948964056
4.7e-07,0.2071706927
4.75e-07,0.1783784891
4.8e-07,0.1519824397
4.85e-07,0.1429624764
4.9e-07,0.1554462388
4.95e-07,0.1827124337
5e-07,0.2066282493
5.05e-07,0.1994095911
5.1e-07,0.179980979
5.15e-07,0.1926386417
5.2e-07,0.2073424963
5.25e-07,0.1929470473
5.3e-07,0.2589535877
5.35e-07,0.8618208655
5.4e-07,0.8773836648
5.45e-07,0.4355082793
5.5e-07,0.2634081808
5.55e-07,0.2114312034
5.6e-07,0.2191198704
5.65e-07,0.3501587856
5.7e-07,0.4785991902
5.75e-07,0.3317614276
5.8e-07,0.3447238006
5.85e-07,0.5410523908
5.9e-07,0.5042269513
5.95e-07,0.9034505191
6e-07,1.0
6.05e-07,0.8629744987
6.1e-07,0.7257184831
6.15e-07,0.6526699809
6.2e-07,0.5374503302
6.25e-07,0.4943571367
6.3e-07,0.4361637077
6.35e-07,0.3951681808
6.4e-07,0.3707066792
6.45e-07,0.3575971318
6.5e-07,0.3220656175
6.55e-07,0.3485933584
6.6e-07,0.3521795178
6.65e-07,0.3034627621
6.7e-07,0.3181692007
6.75e-07,0.3060010916
6.8e-07,0.2648197974
6.85e-07,0.2402319214
6.9e-07,0.1768699724
6.95e-07,0.1710297327
7e-07,0.1509962127
7.05e-07,0.1346104345
7.1e-07,0.1256935694
7.15e-07,0.1196011911
7.2e-07,0.1175632151
7.25e-07,0.115748188
7.3e-07,0.1096603048
7.35e-07,0.1074436665
7.4e-07,0.1093557698
7.45e-07,0.1081531758
7.5e-07,0.1143784298
7.55e-07,0.1376604646
7.6e-07,0.1168708812
7.65e-07,0.1081531758
7.7e-07,0.1143784298
7.75e-07,0.1376604646
7.8e-07,0.1168708812
