wavelength,Natural
3.8e-07,1.88
3.85e-07,2.24
3.9e-07,2.65
3.95e-07,2.95
4e-07,4.06
4.05e-07,20.6
4.1e-07,4.66
4.15e-07,4.23
4.2e-07,4.54
4.25e-07,4.87
4.3e-07,5.36
4.35e-07,43.4
4.4e-07,11.07
4.45e-07,6.21
4.5e-07,6.52
4.55e-07,6.82
4.6e-07,7.09
4.65e-07,7.32
4.7e-07,7.5
4.75e-07,7.66
4.8e-07,7.76
4.85e-07,7.83
4.9e-07,7.98
4.95e-07,7.96
5e-07,7.94
5.05e-07,7.97
5.1e-07,8.01
5.15e-07,8.09
5.2e-07,8.23
5.25e-07,8.48
5.3e-07,8.84
5.35e-07,9.38
5.4e-07,11.16
5.45e-07,24.5
5.5e-07,18.11
5.55e-07,12.62
5.6e-07,13.46
5.65e-07,14.3
5.7e-07,15.22
5.75e-07,18.15
5.8e-07,19.54
5.85e-07,17.02
5.9e-07,16.74
5.95e-07,16.78
6e-07,16.71
6.05e-07,16.52
6.1e-07,16.23
6.15e-07,15.88
6.2e-07,15.46
6.25e-07,15.03
6.3e-07,14.5
6.35e-07,13.94
6.4e-07,13.32
6.45e-07,12.7
6.5e-07,12.09
6.55e-07,11.51
6.6e-07,10.88
6.65e-07,10.28
6.7e-07,9.65
6.75e-07,9.01
6.8e-07,8.33
6.85e-07,7.74
6.9e-07,7.17
6.95e-07,6.56
7e-07,5.99
7.05e-07,5.52
7.1e-07,5.03
7.15e-07,4.61
7.2e-07,4.2
7.25e-07,3.81
7.3e-07,3.46
7.35e-07,3.15
7.4e-07,2.82
7.45e-07,2.53
7.5e-07,2.28
7.55e-07,2.04
7.6e-07,1.84
7.65e-07,1.65
7.7e-07,1.47
7.75e-07,1.3
7.8e-07,1.2
