wavelength,PHOS-4
3.8e-07,2.65174294164563e-05
3.85e-07,7.20892236476949e-05
3.9e-07,0.0001850652
3.95e-07,0.0004486356
4e-07,0.001027012
4.05e-07,0.0022200743
4.1e-07,0.004531744
4.15e-07,0.0087349869
4.2e-07,0.0158981906
4.25e-07,0.0273215926
4.3e-07,0.0443316913
4.35e-07,0.0679109808
4.4e-07,0.0982059987
4.45e-07,0.1340440575
4.5e-07,0.1726589283
4.55e-07,0.2098269134
4.6e-07,0.2405133288
4.65e-07,0.2599404435
4.7e-07,0.2968669942
4.75e-07,0.3103891625
4.8e-07,0.3230698
4.85e-07,0.3346221126
4.9e-07,0.3447613147
4.95e-07,0.3532308214
5e-07,0.3598344157
5.05e-07,0.3644719777
5.1e-07,0.3671749961
5.15e-07,0.368136989
5.2e-07,0.3677334186
5.25e-07,0.3665259719
5.3e-07,0.3652473273
5.35e-07,0.3647647135
5.4e-07,0.3660234509
5.45e-07,0.3699748157
5.5e-07,0.3774954254
5.55e-07,0.3893073484
5.6e-07,0.405908814
5.65e-07,0.4275245273
5.7e-07,0.4540822183
5.75e-07,0.4852185591
5.8e-07,0.5203135462
5.85e-07,0.5585485887
5.9e-07,0.5989805223
5.95e-07,0.6406220815
6e-07,0.6825192092
6.05e-07,0.7238168836
6.1e-07,0.7638075399
6.15e-07,0.8019591443
6.2e-07,0.8379229785
6.25e-07,0.8469158152
6.3e-07,0.788207208
6.35e-07,0.690634909
6.4e-07,0.5699908443
6.45e-07,0.4432968286
6.5e-07,0.3250191694
6.55e-07,0.2247345252
6.6e-07,0.1465926143
6.65e-07,0.0902291357
6.7e-07,0.0524158049
6.75e-07,0.0287426457
6.8e-07,0.0148796085
6.85e-07,0.0072726716
6.9e-07,0.0033563
6.95e-07,0.0014625486
7e-07,0.0006018039
7.05e-07,0.0002338315
7.1e-07,8.57945671424698e-05
7.15e-07,2.97254474377703e-05
7.2e-07,9.72547785760084e-06
7.25e-07,3.0047520635375e-06
7.3e-07,8.76641820226947e-07
7.35e-07,2.41519377899335e-07
7.4e-07,6.28345135673037e-08
7.45e-07,1.54369371558642e-08
7.5e-07,3.58129984345344e-09
7.55e-07,7.84579460690639e-10
7.6e-07,1.62311729956244e-10
7.65e-07,3.17087855185187e-11
7.7e-07,5.84959831217044e-12
7.75e-07,1.01903527241427e-12
7.8e-07,1.67636709023523e-13
