wavelength,SA
3.8e-07,9.8
3.85e-07,10.9
3.9e-07,12.09
3.95e-07,13.35
4e-07,14.71
4.05e-07,16.15
4.1e-07,17.68
4.15e-07,19.29
4.2e-07,20.99
4.25e-07,22.79
4.3e-07,24.67
4.35e-07,26.64
4.4e-07,28.7
4.45e-07,30.85
4.5e-07,33.09
4.55e-07,35.41
4.6e-07,37.81
4.65e-07,40.3
4.7e-07,42.87
4.75e-07,45.52
4.8e-07,48.24
4.85e-07,51.04
4.9e-07,53.91
4.95e-07,56.85
5e-07,59.86
5.05e-07,62.93
5.1e-07,66.06
5.15e-07,69.25
5.2e-07,72.5
5.25e-07,75.79
5.3e-07,79.13
5.35e-07,82.52
5.4e-07,85.95
5.45e-07,89.41
5.5e-07,92.91
5.55e-07,96.44
5.6e-07,100.0
5.65e-07,103.58
5.7e-07,107.18
5.75e-07,110.8
5.8e-07,114.44
5.85e-07,118.08
5.9e-07,121.73
5.95e-07,125.39
6e-07,129.04
6.05e-07,132.7
6.1e-07,136.35
6.15e-07,139.99
6.2e-07,143.62
6.25e-07,147.24
6.3e-07,150.84
6.35e-07,154.42
6.4e-07,157.98
6.45e-07,161.52
6.5e-07,165.03
6.55e-07,168.51
6.6e-07,171.96
6.65e-07,175.38
6.7e-07,178.77
6.75e-07,182.12
6.8e-07,185.43
6.85e-07,188.7
6.9e-07,191.93
6.95e-07,195.12
7e-07,198.26
7.05e-07,201.36
7.1e-07,204.41
7.15e-07,207.41
7.2e-07,210.36
7.25e-07,213.27
7.3e-07,216.12
7.35e-07,218.92
7.4e-07,221.67
7.45e-07,224.36
7.5e-07,227.0
7.55e-07,229.59
7.6e-07,232.12
7.65e-07,234.59
7.7e-07,237.01
7.75e-07,239.37
7.8e-07,241.68
