wavelength,Super HPS
3.8e-07,0.0
3.85e-07,0.003596107
3.9e-07,0.0045981474
3.95e-07,0.0050177851
4e-07,0.0057492868
4.05e-07,0.0076343625
4.1e-07,0.0082144378
4.15e-07,0.0099511979
4.2e-07,0.0122130333
4.25e-07,0.0137991778
4.3e-07,0.0165173427
4.35e-07,0.0217400514
4.4e-07,0.0203116242
4.45e-07,0.0212391684
4.5e-07,0.0309894056
4.55e-07,0.0259091888
4.6e-07,0.0201990203
4.65e-07,0.0308219293
4.7e-07,0.0346853066
4.75e-07,0.0219456051
4.8e-07,0.0126257964
4.85e-07,0.013564814
4.9e-07,0.0168973956
4.95e-07,0.0243983602
5e-07,0.0434304636
5.05e-07,0.0192060585
5.1e-07,0.0194871844
5.15e-07,0.0455673292
5.2e-07,0.0214293107
5.25e-07,0.0232814599
5.3e-07,0.0249044139
5.35e-07,0.027288095
5.4e-07,0.0318833455
5.45e-07,0.0470584913
5.5e-07,0.1120803531
5.55e-07,0.1304844572
5.6e-07,0.1398153826
5.65e-07,0.1563428339
5.7e-07,0.1597922384
5.75e-07,0.1017778764
5.8e-07,0.027339422
5.85e-07,0.0050505846
5.9e-07,0.0062796715
5.95e-07,0.011816069
6e-07,0.0326627675
6.05e-07,0.0864624384
6.1e-07,0.1325538401
6.15e-07,0.1785194715
6.2e-07,0.1647322754
6.25e-07,0.1652710919
6.3e-07,0.1604288888
6.35e-07,0.155280408
6.4e-07,0.1504925888
6.45e-07,0.1443308799
6.5e-07,0.1353427208
6.55e-07,0.1343059341
6.6e-07,0.1245938386
6.65e-07,0.1251833569
6.7e-07,0.1314285899
6.75e-07,0.1222621215
6.8e-07,0.1056669972
6.85e-07,0.0924634081
6.9e-07,0.0850971124
6.95e-07,0.0809388186
7e-07,0.0780317816
7.05e-07,0.0749906848
7.1e-07,0.0728725021
7.15e-07,0.0713867551
7.2e-07,0.0693760096
7.25e-07,0.0672336597
7.3e-07,0.0657510427
7.35e-07,0.0648570879
7.4e-07,0.0628974098
7.45e-07,0.0627958506
7.5e-07,0.0631247959
7.55e-07,0.0606465187
7.6e-07,0.0604807146
7.65e-07,0.0604807146
7.7e-07,0.0604807146
7.75e-07,0.0604807146
7.8e-07,0.0604807146
