wavelength,Thorn-Kolor-rite
3.8e-07,1.111
3.85e-07,1.316
3.9e-07,1.565
3.95e-07,1.714
4e-07,2.64
4.05e-07,17.54
4.1e-07,2.96
4.15e-07,2.51
4.2e-07,2.75
4.25e-07,3.06
4.3e-07,3.61
4.35e-07,41.6
4.4e-07,8.95
4.45e-07,4.8
4.5e-07,5.3
4.55e-07,5.8
4.6e-07,6.24
4.65e-07,6.68
4.7e-07,7.09
4.75e-07,7.49
4.8e-07,7.82
4.85e-07,8.12
4.9e-07,8.54
4.95e-07,8.8
5e-07,9.08
5.05e-07,9.46
5.1e-07,9.86
5.15e-07,10.33
5.2e-07,10.73
5.25e-07,11.07
5.3e-07,11.29
5.35e-07,11.43
5.4e-07,12.93
5.45e-07,26.3
5.5e-07,18.11
5.55e-07,12.17
5.6e-07,12.37
5.65e-07,12.67
5.7e-07,13.12
5.75e-07,15.82
5.8e-07,16.88
5.85e-07,14.25
5.9e-07,14.05
5.95e-07,14.23
6e-07,14.37
6.05e-07,14.53
6.1e-07,14.72
6.15e-07,14.96
6.2e-07,15.63
6.25e-07,16.45
6.3e-07,16.78
6.35e-07,16.12
6.4e-07,15.44
6.45e-07,16.09
6.5e-07,18.15
6.55e-07,20.4
6.6e-07,20.4
6.65e-07,17.3
6.7e-07,13.31
6.75e-07,10.73
6.8e-07,9.45
6.85e-07,8.62
6.9e-07,7.81
6.95e-07,7.05
7e-07,6.38
7.05e-07,5.82
7.1e-07,5.3
7.15e-07,4.81
7.2e-07,4.41
7.25e-07,4.0
7.3e-07,3.61
7.35e-07,3.26
7.4e-07,2.95
7.45e-07,2.63
7.5e-07,2.34
7.55e-07,2.11
7.6e-07,1.89
7.65e-07,1.71
7.7e-07,1.5
7.75e-07,1.33
7.8e-07,1.2
