wavelength,TCS02
3.6e-07,0.053
3.65e-07,0.055
3.7e-07,0.059
3.75e-07,0.064
3.8e-07,0.07
3.85e-07,0.079
3.9e-07,0.089
3.95e-07,0.101
4e-07,0.111
4.05e-07,0.116
4.1e-07,0.118
4.15e-07,0.12
4.2e-07,0.121
4.25e-07,0.122
4.3e-07,0.122
4.35e-07,0.122
4.4e-07,0.123
4.45e-07,0.124
4.5e-07,0.127
4.55e-07,0.128
4.6e-07,0.131
4.65e-07,0.134
4.7e-07,0.138
4.75e-07,0.143
4.8e-07,0.15
4.85e-07,0.159
4.9e-07,0.174
4.95e-07,0.19
5e-07,0.207
5.05e-07,0.225
5.1e-07,0.242
5.15e-07,0.253
5.2e-07,0.26
5.25e-07,0.264
5.3e-07,0.267
5.35e-07,0.269
5.4e-07,0.272
5.45e-07,0.276
5.5e-07,0.282
5.55e-07,0.289
5.6e-07,0.299
5.65e-07,0.309
5.7e-07,0.322
5.75e-07,0.329
5.8e-07,0.335
5.85e-07,0.339
5.9e-07,0.341
5.95e-07,0.341
6e-07,0.342
6.05e-07,0.342
6.1e-07,0.342
6.15e-07,0.341
6.2e-07,0.341
6.25e-07,0.339
6.3e-07,0.339
6.35e-07,0.338
6.4e-07,0.338
6.45e-07,0.337
6.5e-07,0.336
6.55e-07,0.335
6.6e-07,0.334
6.65e-07,0.332
6.7e-07,0.332
6.75e-07,0.331
6.8e-07,0.331
6.85e-07,0.33
6.9e-07,0.329
6.95e-07,0.328
7e-07,0.328
7.05e-07,0.327
7.1e-07,0.326
7.15e-07,0.325
7.2e-07,0.324
7.25e-07,0.324
7.3e-07,0.324
7.35e-07,0.323
7.4e-07,0.322
7.45e-07,0.321
7.5e-07,0.32
7.55e-07,0.318
7.6e-07,0.316
7.65e-07,0.315
7.7e-07,0.315
7.75e-07,0.314
7.8e-07,0.314
7.85e-07,0.313
7.9e-07,0.313
7.95e-07,0.312
8e-07,0.312
8.05e-07,0.311
8.1e-07,0.311
8.15e-07,0.311
8.2e-07,0.311
8.25e-07,0.311
8.3e-07,0.31
