wavelength,VS10
3.8e-07,0.054
3.85e-07,0.0489
3.9e-07,0.0548
3.95e-07,0.055
4e-07,0.0529
4.05e-07,0.0521
4.1e-07,0.0541
4.15e-07,0.0548
4.2e-07,0.0541
4.25e-07,0.0531
4.3e-07,0.0599
4.35e-07,0.0569
4.4e-07,0.0603
4.45e-07,0.0643
4.5e-07,0.0702
4.55e-07,0.0715
4.6e-07,0.0798
4.65e-07,0.086
4.7e-07,0.0959
4.75e-07,0.1088
4.8e-07,0.1218
4.85e-07,0.1398
4.9e-07,0.1626
4.95e-07,0.1878
5e-07,0.2302
5.05e-07,0.2829
5.1e-07,0.3455
5.15e-07,0.4171
5.2e-07,0.4871
5.25e-07,0.5529
5.3e-07,0.5955
5.35e-07,0.6299
5.4e-07,0.6552
5.45e-07,0.6661
5.5e-07,0.6752
5.55e-07,0.6832
5.6e-07,0.6851
5.65e-07,0.6964
5.7e-07,0.6966
5.75e-07,0.7063
5.8e-07,0.7104
5.85e-07,0.7115
5.9e-07,0.7145
5.95e-07,0.7195
6e-07,0.7183
6.05e-07,0.7208
6.1e-07,0.7228
6.15e-07,0.7274
6.2e-07,0.7251
6.25e-07,0.7274
6.3e-07,0.7341
6.35e-07,0.7358
6.4e-07,0.7362
6.45e-07,0.7354
6.5e-07,0.7442
6.55e-07,0.7438
6.6e-07,0.744
6.65e-07,0.7436
6.7e-07,0.7442
6.75e-07,0.7489
6.8e-07,0.7435
6.85e-07,0.746
6.9e-07,0.7518
6.95e-07,0.755
7e-07,0.7496
7.05e-07,0.7548
7.1e-07,0.7609
7.15e-07,0.758
7.2e-07,0.7574
7.25e-07,0.7632
7.3e-07,0.7701
7.35e-07,0.7667
7.4e-07,0.7735
7.45e-07,0.772
7.5e-07,0.7739
7.55e-07,0.774
7.6e-07,0.7699
7.65e-07,0.7788
7.7e-07,0.7801
7.75e-07,0.7728
7.8e-07,0.7793
7.85e-07,0.7797
7.9e-07,0.7754
7.95e-07,0.781
8e-07,0.7789
8.05e-07,0.7789
8.1e-07,0.7789
8.15e-07,0.7789
8.2e-07,0.7789
8.25e-07,0.7789
8.3e-07,0.7789
