wavelength,VS3
3.8e-07,0.0858
3.85e-07,0.099
3.9e-07,0.1204
3.95e-07,0.1458
4e-07,0.1696
4.05e-07,0.1922
4.1e-07,0.2101
4.15e-07,0.2179
4.2e-07,0.2233
4.25e-07,0.2371
4.3e-07,0.2499
4.35e-07,0.2674
4.4e-07,0.2949
4.45e-07,0.3232
4.5e-07,0.3435
4.55e-07,0.3538
4.6e-07,0.3602
4.65e-07,0.3571
4.7e-07,0.3511
4.75e-07,0.3365
4.8e-07,0.3176
4.85e-07,0.2956
4.9e-07,0.2747
4.95e-07,0.2506
5e-07,0.2279
5.05e-07,0.2055
5.1e-07,0.1847
5.15e-07,0.1592
5.2e-07,0.1438
5.25e-07,0.1244
5.3e-07,0.1105
5.35e-07,0.0959
5.4e-07,0.0871
5.45e-07,0.079
5.5e-07,0.0703
5.55e-07,0.0652
5.6e-07,0.0555
5.65e-07,0.0579
5.7e-07,0.0562
5.75e-07,0.0548
5.8e-07,0.0517
5.85e-07,0.0544
5.9e-07,0.0519
5.95e-07,0.052
6e-07,0.0541
6.05e-07,0.0537
6.1e-07,0.0545
6.15e-07,0.056
6.2e-07,0.056
6.25e-07,0.0561
6.3e-07,0.0578
6.35e-07,0.0586
6.4e-07,0.0573
6.45e-07,0.0602
6.5e-07,0.0604
6.55e-07,0.0606
6.6e-07,0.0606
6.65e-07,0.0595
6.7e-07,0.0609
6.75e-07,0.0605
6.8e-07,0.0602
6.85e-07,0.058
6.9e-07,0.0587
6.95e-07,0.0573
7e-07,0.0606
7.05e-07,0.0613
7.1e-07,0.0618
7.15e-07,0.0652
7.2e-07,0.0647
7.25e-07,0.0684
7.3e-07,0.0718
7.35e-07,0.0731
7.4e-07,0.0791
7.45e-07,0.0828
7.5e-07,0.0896
7.55e-07,0.098
7.6e-07,0.1063
7.65e-07,0.1137
7.7e-07,0.1238
7.75e-07,0.1381
7.8e-07,0.1505
7.85e-07,0.1685
7.9e-07,0.1862
7.95e-07,0.2078
8e-07,0.2338
8.05e-07,0.2338
8.1e-07,0.2338
8.15e-07,0.2338
8.2e-07,0.2338
8.25e-07,0.2338
8.3e-07,0.2338
