wavelength,D75
3e-07,0.043
3.05e-07,2.588
3.1e-07,5.133
3.15e-07,17.47
3.2e-07,29.808
3.25e-07,42.369
3.3e-07,54.93
3.35e-07,56.095
3.4e-07,57.259
3.45e-07,60.0
3.5e-07,62.74
3.55e-07,62.861
3.6e-07,62.982
3.65e-07,66.647
3.7e-07,70.312
3.75e-07,68.507
3.8e-07,66.703
3.85e-07,68.333
3.9e-07,69.963
3.95e-07,85.946
4e-07,101.929
4.05e-07,106.911
4.1e-07,111.894
4.15e-07,112.346
4.2e-07,112.798
4.25e-07,107.945
4.3e-07,103.092
4.35e-07,112.145
4.4e-07,121.198
4.45e-07,127.104
4.5e-07,133.01
4.55e-07,132.682
4.6e-07,132.355
4.65e-07,129.838
4.7e-07,127.322
4.75e-07,127.061
4.8e-07,126.8
4.85e-07,122.291
4.9e-07,117.783
4.95e-07,117.186
5e-07,116.589
5.05e-07,115.146
5.1e-07,113.702
5.15e-07,111.181
5.2e-07,108.659
5.25e-07,109.552
5.3e-07,110.445
5.35e-07,108.367
5.4e-07,106.289
5.45e-07,105.596
5.5e-07,104.904
5.55e-07,102.452
5.6e-07,100.0
5.65e-07,97.808
5.7e-07,95.616
5.75e-07,94.914
5.8e-07,94.213
5.85e-07,90.605
5.9e-07,86.997
5.95e-07,87.112
6e-07,87.227
6.05e-07,86.684
6.1e-07,86.14
6.15e-07,84.861
6.2e-07,83.581
6.25e-07,81.164
6.3e-07,78.747
6.35e-07,78.587
6.4e-07,78.428
6.45e-07,76.614
6.5e-07,74.801
6.55e-07,74.562
6.6e-07,74.324
6.65e-07,74.873
6.7e-07,75.422
6.75e-07,73.499
6.8e-07,71.576
6.85e-07,67.714
6.9e-07,63.852
6.95e-07,64.464
7e-07,65.076
7.05e-07,66.573
7.1e-07,68.07
7.15e-07,62.256
7.2e-07,56.443
7.25e-07,60.343
7.3e-07,64.242
7.35e-07,66.697
7.4e-07,69.151
7.45e-07,63.89
7.5e-07,58.629
7.55e-07,50.623
7.6e-07,42.617
7.65e-07,51.985
7.7e-07,61.352
7.75e-07,59.838
7.8e-07,58.324
