wavelength,F9
3.8e-07,0.9
3.85e-07,1.12
3.9e-07,1.36
3.95e-07,1.6
4e-07,2.59
4.05e-07,12.8
4.1e-07,3.05
4.15e-07,2.56
4.2e-07,2.86
4.25e-07,3.3
4.3e-07,3.82
4.35e-07,32.62
4.4e-07,10.77
4.45e-07,5.84
4.5e-07,6.57
4.55e-07,7.25
4.6e-07,7.86
4.65e-07,8.35
4.7e-07,8.75
4.75e-07,9.06
4.8e-07,9.31
4.85e-07,9.48
4.9e-07,9.61
4.95e-07,9.68
5e-07,9.74
5.05e-07,9.88
5.1e-07,10.04
5.15e-07,10.26
5.2e-07,10.48
5.25e-07,10.63
5.3e-07,10.78
5.35e-07,10.96
5.4e-07,11.18
5.45e-07,27.71
5.5e-07,16.29
5.55e-07,12.28
5.6e-07,12.74
5.65e-07,13.21
5.7e-07,13.65
5.75e-07,16.57
5.8e-07,18.14
5.85e-07,14.55
5.9e-07,14.65
5.95e-07,14.66
6e-07,14.61
6.05e-07,14.5
6.1e-07,14.39
6.15e-07,14.4
6.2e-07,14.47
6.25e-07,14.62
6.3e-07,14.72
6.35e-07,14.55
6.4e-07,14.4
6.45e-07,14.58
6.5e-07,14.88
6.55e-07,15.51
6.6e-07,15.47
6.65e-07,13.2
6.7e-07,10.57
6.75e-07,9.18
6.8e-07,8.25
6.85e-07,7.57
6.9e-07,7.03
6.95e-07,6.35
7e-07,5.72
7.05e-07,5.25
7.1e-07,4.8
7.15e-07,4.29
7.2e-07,3.8
7.25e-07,3.43
7.3e-07,3.12
7.35e-07,2.86
7.4e-07,2.64
7.45e-07,2.43
7.5e-07,2.26
7.55e-07,2.14
7.6e-07,2.02
7.65e-07,1.83
7.7e-07,1.61
7.75e-07,1.38
7.8e-07,1.12
