wavelength,FL3.14
3.8e-07,2.87
3.85e-07,3.69
3.9e-07,4.87
3.95e-07,5.82
4e-07,7.17
4.05e-07,72.21
4.1e-07,13.69
4.15e-07,11.12
4.2e-07,12.43
4.25e-07,13.9
4.3e-07,15.82
4.35e-07,200.99
4.4e-07,21.72
4.45e-07,26.33
4.5e-07,32.85
4.55e-07,40.8
4.6e-07,49.23
4.65e-07,57.39
4.7e-07,65.26
4.75e-07,71.99
4.8e-07,78.25
4.85e-07,88.85
4.9e-07,91.67
4.95e-07,86.81
5e-07,80.42
5.05e-07,73.82
5.1e-07,69.12
5.15e-07,63.69
5.2e-07,58.44
5.25e-07,53.57
5.3e-07,49.66
5.35e-07,48.44
5.4e-07,72.56
5.45e-07,200.42
5.5e-07,65.0
5.55e-07,47.49
5.6e-07,44.14
5.65e-07,44.71
5.7e-07,46.01
5.75e-07,63.52
5.8e-07,71.73
5.85e-07,63.52
5.9e-07,64.13
5.95e-07,63.74
6e-07,66.82
6.05e-07,70.65
6.1e-07,79.29
6.15e-07,80.77
6.2e-07,83.59
6.25e-07,82.59
6.3e-07,77.6
6.35e-07,72.47
6.4e-07,68.34
6.45e-07,63.82
6.5e-07,58.57
6.55e-07,53.18
6.6e-07,47.97
6.65e-07,43.14
6.7e-07,38.19
6.75e-07,33.85
6.8e-07,29.94
6.85e-07,26.24
6.9e-07,23.9
6.95e-07,20.33
7e-07,17.42
7.05e-07,15.64
7.1e-07,14.34
7.15e-07,12.21
7.2e-07,10.65
7.25e-07,9.43
7.3e-07,8.34
7.35e-07,7.52
7.4e-07,6.73
7.45e-07,6.08
7.5e-07,5.52
7.55e-07,5.0
7.6e-07,9.47
7.65e-07,4.08
7.7e-07,4.43
7.75e-07,3.39
7.8e-07,3.17
