wavelength,4-LED-No-Yellow
3.8e-07,5.00830470942e-06
3.85e-07,2.37160686349e-05
3.9e-07,9.94095202402e-05
3.95e-07,0.0003684067
4e-07,0.0012063431
4.05e-07,0.0034892167
4.1e-07,0.0089138207
4.15e-07,0.0201192199
4.2e-07,0.0402570188
4.25e-07,0.0732335592
4.3e-07,0.132926886
4.35e-07,0.2605953485
4.4e-07,0.4638844161
4.45e-07,0.5855023828
4.5e-07,0.4874605671
4.55e-07,0.3109198478
4.6e-07,0.2160752258
4.65e-07,0.1989119254
4.7e-07,0.2267627783
4.75e-07,0.3058194397
4.8e-07,0.4594090138
4.85e-07,0.6842331444
4.9e-07,0.9056258811
4.95e-07,1.0004410948
5e-07,0.9048427933
5.05e-07,0.6820202478
5.1e-07,0.4545920361
5.15e-07,0.2975002875
5.2e-07,0.2165855002
5.25e-07,0.1934695205
5.3e-07,0.2186286024
5.35e-07,0.2964418163
5.4e-07,0.4693367123
5.45e-07,0.871511743
5.5e-07,1.5237206939
5.55e-07,1.8942663065
5.6e-07,1.515471306
5.65e-07,0.8533178434
5.7e-07,0.4386103796
5.75e-07,0.2517591342
5.8e-07,0.1633454618
5.85e-07,0.1393768576
5.9e-07,0.1822373617
5.95e-07,0.2974969095
6e-07,0.5133048718
6.05e-07,0.9719564749
6.1e-07,1.8588708015
6.15e-07,2.7307473319
6.2e-07,2.6102604402
6.25e-07,1.6528454396
6.3e-07,0.8470736203
6.35e-07,0.4528629836
6.4e-07,0.2540957124
6.45e-07,0.1330819356
6.5e-07,0.062036024
6.55e-07,0.0255382935
6.6e-07,0.0092782966
6.65e-07,0.0029748034
6.7e-07,0.0008417081
6.75e-07,0.0002101735
6.8e-07,4.63134881251e-05
6.85e-07,9.00638021417e-06
6.9e-07,1.545632542e-06
6.95e-07,2.34085987977e-07
7e-07,3.12865570429e-08
7.05e-07,3.69022900774e-09
7.1e-07,3.84115695213e-10
7.15e-07,3.52845008045e-11
7.2e-07,2.86034943325e-12
7.25e-07,2.0462910075e-13
7.3e-07,1.29189997394e-14
7.35e-07,7.19786294524e-16
7.4e-07,3.53908868998e-17
7.45e-07,1.53565093769e-18
7.5e-07,5.88039855325e-20
7.55e-07,1.98716625965e-21
7.6e-07,5.92617997897e-23
7.65e-07,1.55965542079e-24
7.7e-07,3.6223938751e-26
7.75e-07,7.4246480637e-28
7.8e-07,1.34297913021e-29
