wavelength,Daylight-FL
3.8e-07,0.04474924
3.85e-07,0.05659396
3.9e-07,0.07026586
3.95e-07,0.10049547
4e-07,0.18520846
4.05e-07,0.19377039
4.1e-07,0.173571
4.15e-07,0.13960725
4.2e-07,0.16195166
4.25e-07,0.20236858
4.3e-07,0.40082175
4.35e-07,1.0
4.4e-07,0.518429
4.45e-07,0.21892447
4.5e-07,0.25743807
4.55e-07,0.27389124
4.6e-07,0.28964955
4.65e-07,0.30247734
4.7e-07,0.30974018
4.75e-07,0.30807855
4.8e-07,0.30855589
4.85e-07,0.3118429
4.9e-07,0.317571
4.95e-07,0.3127432
5e-07,0.30381873
5.05e-07,0.293571
5.1e-07,0.28662236
5.15e-07,0.28228399
5.2e-07,0.27977039
5.25e-07,0.27754079
5.3e-07,0.27734743
5.35e-07,0.28374622
5.4e-07,0.30420544
5.45e-07,0.49527492
5.5e-07,0.45265861
5.55e-07,0.33021148
5.6e-07,0.35650151
5.65e-07,0.37024773
5.7e-07,0.39148036
5.75e-07,0.42088822
5.8e-07,0.4238006
5.85e-07,0.40008459
5.9e-07,0.36932326
5.95e-07,0.34946224
6e-07,0.32535347
6.05e-07,0.29843505
6.1e-07,0.2696858
6.15e-07,0.24326888
6.2e-07,0.21839879
6.25e-07,0.19558308
6.3e-07,0.17557704
6.35e-07,0.15563746
6.4e-07,0.13744411
6.45e-07,0.12087613
6.5e-07,0.10580665
6.55e-07,0.09257402
6.6e-07,0.08107553
6.65e-07,0.07144411
6.7e-07,0.06311782
6.75e-07,0.05713716
6.8e-07,0.0522719
6.85e-07,0.04643867
6.9e-07,0.04323746
6.95e-07,0.03866042
7e-07,0.03217402
7.05e-07,0.03034743
7.1e-07,0.02783807
7.15e-07,0.02529486
7.2e-07,0.02349486
7.25e-07,0.02208278
7.3e-07,0.02074139
7.35e-07,0.01944653
7.4e-07,0.01831541
7.45e-07,0.01752568
7.5e-07,0.01690332
7.55e-07,0.01635831
7.6e-07,0.01487069
7.65e-07,0.0138284
7.7e-07,0.01316616
7.75e-07,0.01241027
7.8e-07,0.01204411
