wavelength,TCS01
3.6e-07,0.116
3.65e-07,0.136
3.7e-07,0.159
3.75e-07,0.19
3.8e-07,0.219
3.85e-07,0.239
3.9e-07,0.252
3.95e-07,0.256
4e-07,0.256
4.05e-07,0.254
4.1e-07,0.252
4.15e-07,0.248
4.2e-07,0.244
4.25e-07,0.24
4.3e-07,0.237
4.35e-07,0.232
4.4e-07,0.23
4.45e-07,0.226
4.5e-07,0.225
4.55e-07,0.222
4.6e-07,0.22
4.65e-07,0.218
4.7e-07,0.216
4.75e-07,0.214
4.8e-07,0.214
4.85e-07,0.214
4.9e-07,0.216
4.95e-07,0.218
5e-07,0.223
5.05e-07,0.225
5.1e-07,0.226
5.15e-07,0.226
5.2e-07,0.225
5.25e-07,0.225
5.3e-07,0.227
5.35e-07,0.23
5.4e-07,0.236
5.45e-07,0.245
5.5e-07,0.253
5.55e-07,0.262
5.6e-07,0.272
5.65e-07,0.283
5.7e-07,0.298
5.75e-07,0.318
5.8e-07,0.341
5.85e-07,0.367
5.9e-07,0.39
5.95e-07,0.409
6e-07,0.424
6.05e-07,0.435
6.1e-07,0.442
6.15e-07,0.448
6.2e-07,0.45
6.25e-07,0.451
6.3e-07,0.451
6.35e-07,0.451
6.4e-07,0.451
6.45e-07,0.451
6.5e-07,0.45
6.55e-07,0.45
6.6e-07,0.451
6.65e-07,0.451
6.7e-07,0.453
6.75e-07,0.454
6.8e-07,0.455
6.85e-07,0.457
6.9e-07,0.458
6.95e-07,0.46
7e-07,0.462
7.05e-07,0.463
7.1e-07,0.464
7.15e-07,0.465
7.2e-07,0.466
7.25e-07,0.466
7.3e-07,0.466
7.35e-07,0.466
7.4e-07,0.467
7.45e-07,0.467
7.5e-07,0.467
7.55e-07,0.467
7.6e-07,0.467
7.65e-07,0.467
7.7e-07,0.467
7.75e-07,0.467
7.8e-07,0.467
7.85e-07,0.467
7.9e-07,0.467
7.95e-07,0.466
8e-07,0.466
8.05e-07,0.466
8.1e-07,0.466
8.15e-07,0.466
8.2e-07,0.465
8.25e-07,0.464
8.3e-07,0.464
