wavelength,k
3.5424054e-17,0.24212943
3.562764e-17,0.249561126
3.583358e-17,0.257440979
3.6041915e-17,0.264198246
3.6252686e-17,0.270045915
3.6465937e-17,0.27768796
3.6681712e-17,0.285542731
3.6900056e-17,0.293668699
3.7121014e-17,0.302415124
3.7344635e-17,0.311509109
3.7570966e-17,0.321763966
3.7800057e-17,0.331345402
3.8031959e-17,0.340586799
3.8266725e-17,0.350449515
3.8504406e-17,0.36001777
3.8745059e-17,0.368237477
3.8988738e-17,0.378471979
3.9235502e-17,0.389943481
3.948541e-17,0.400308699
3.9738522e-17,0.410429821
3.9994899e-17,0.4230735
4.0254606e-17,0.435673378
4.0517708e-17,0.448162518
4.0784272e-17,0.460710349
4.1054367e-17,0.473676024
4.1328062e-17,0.486720406
4.1605432e-17,0.499586866
4.188655e-17,0.512747971
4.2171492e-17,0.526524585
4.2460338e-17,0.53937856
4.2753168e-17,0.552291328
4.3050065e-17,0.565214636
4.3351114e-17,0.577969325
4.3656404e-17,0.591669742
4.3966024e-17,0.604833568
4.4280067e-17,0.619235414
4.4598629e-17,0.632079382
4.4921807e-17,0.643908763
4.5249703e-17,0.655951117
4.5582422e-17,0.668024655
4.5920069e-17,0.680700896
4.6262757e-17,0.693286205
4.6610597e-17,0.705946318
4.6963707e-17,0.717012534
4.7322209e-17,0.726768495
4.7686226e-17,0.737201916
4.8055887e-17,0.748275571
4.8431323e-17,0.758742895
4.8812672e-17,0.768737331
4.9200074e-17,0.776635795
4.9593675e-17,0.785993387
4.9993624e-17,0.796493706
5.0400076e-17,0.805375879
5.0813192e-17,0.813481663
5.1233135e-17,0.822726772
5.1660078e-17,0.828870944
5.2094196e-17,0.834135261
5.2535673e-17,0.839366565
5.2984695e-17,0.843959639
5.344146e-17,0.846131557
5.3906168e-17,0.844854218
5.437903e-17,0.843400788
5.486026e-17,0.843472675
5.5350084e-17,0.847776516
5.5848733e-17,0.857635668
5.6356449e-17,0.890414813
5.687348e-17,0.922152795
5.7400087e-17,0.955571566
5.7936536e-17,1.022892582
5.8483107e-17,1.045536003
5.9040089e-17,1.080939614
5.9607782e-17,1.120069848
6.0186499e-17,1.137124612
6.0776562e-17,1.158743876
6.1378311e-17,1.191118454
6.1992094e-17,1.216259928
6.2618276e-17,1.240695059
6.3257238e-17,1.279598087
6.3909375e-17,1.309221546
6.4575098e-17,1.331018262
6.5254835e-17,1.353443759
6.5949036e-17,1.37763879
6.6658165e-17,1.405648837
6.7382711e-17,1.436633983
6.812318e-17,1.466976619
6.8880104e-17,1.496711309
6.9654038e-17,1.521137523
7.0445561e-17,1.546045091
7.125528e-17,1.576282725
7.208383e-17,1.605973694
7.2931875e-17,1.635623322
7.3800112e-17,1.664867128
7.468927e-17,1.691299925
7.5600114e-17,1.717065848
7.6533449e-17,1.74756916
7.7490117e-17,1.77821807
7.8471005e-17,1.809332118
7.9477043e-17,1.837233042
8.0509213e-17,1.863298394
8.1568544e-17,1.889677322
8.2656125e-17,1.919953984
8.37731e-17,1.960885899
8.4920676e-17,2.002080707
8.610013e-17,2.052110228
8.7312808e-17,2.11064533
8.8560134e-17,2.180202034
8.9843614e-17,2.256842408
9.1164844e-17,2.354062836
9.2525513e-17,2.465750575
9.3927415e-17,2.607673794
9.5372452e-17,2.77670183
9.6862646e-17,3.017232118
9.8400149e-17,3.372489023
9.9987248e-17,3.5109272
1.01626383e-16,3.516495841
1.03320156e-16,3.220107195
1.05071345e-16,2.969836213
1.0688292e-16,2.675290114
1.08758059e-16,2.397913221
1.10700167e-16,2.173927116
1.12712898e-16,1.919061312
1.14800174e-16,1.749409251
1.16966215e-16,1.606892123
1.19215565e-16,1.448713231
1.21553125e-16,1.344028727
1.23984187e-16,1.250026829
1.26514477e-16,1.164661156
1.29150195e-16,1.070992724
1.31898072e-16,1.018073278
1.34765421e-16,0.967033288
1.37760208e-16,0.914938774
1.40891122e-16,0.865721351
1.4416766e-16,0.824627606
1.47600223e-16,0.789467592
1.51200229e-16,0.751250857
1.54980234e-16,0.711309486
1.58954086e-16,0.665263097
1.63137089e-16,0.613833324
1.67546199e-16,0.507137009
1.7220026e-16,0.385650219
1.77120268e-16,0.08839637
1.82329687e-16,0.029197479
1.87854829e-16,0.020877262
1.93725293e-16,0.016664325
1.99974496e-16,0.012223934
2.06640312e-16,0.007557476
2.1376584e-16,0.002904905
2.21400335e-16,0.0
2.29600347e-16,0.0
2.3843113e-16,0.0
2.47968375e-16,0.0
2.5830039e-16,0.0
2.69530842e-16,0.0
2.81782244e-16,0.0
2.95200446e-16,0.0
3.09960469e-16,0.0
3.26274177e-16,0.0
3.44400521e-16,0.0
3.64659375e-16,0.0
3.87450586e-16,0.0
4.13280625e-16,0.0
4.42800669e-16,0.0
4.76862259e-16,0.0
5.16600781e-16,0.0
5.63564488e-16,0.0
6.19920937e-16,0.0
6.88801041e-16,0.0
7.74901171e-16,0.0
8.85601339e-16,0.0
1.033201562e-15,0.0
1.239841874e-15,0.0
1.549802343e-15,0.0
2.066403124e-15,0.0
3.099604686e-15,0.0
6.199209372e-15,0.0
1e-14,0.0
