wavelength,n
3.5424054e-08,0.583214935
3.562764e-08,0.578675864
3.583358e-08,0.573399388
3.6041915e-08,0.565914051
3.6252686e-08,0.56065836
3.6465937e-08,0.556383504
3.6681712e-08,0.552290368
3.6900056e-08,0.547909942
3.7121014e-08,0.542448069
3.7344635e-08,0.535836659
3.7570966e-08,0.527803041
3.7800057e-08,0.52220281
3.8031959e-08,0.517433443
3.8266725e-08,0.512006701
3.8504406e-08,0.507291627
3.8745059e-08,0.504662104
3.8988738e-08,0.501667259
3.9235502e-08,0.499315951
3.948541e-08,0.495016722
3.9738522e-08,0.490608844
3.9994899e-08,0.488554589
4.0254606e-08,0.486780949
4.0517708e-08,0.485225764
4.0784272e-08,0.484043826
4.1054367e-08,0.483594247
4.1328062e-08,0.48357126
4.1605432e-08,0.484069971
4.188655e-08,0.48538076
4.2171492e-08,0.486431227
4.2460338e-08,0.486079758
4.2753168e-08,0.48596997
4.3050065e-08,0.486307294
4.3351114e-08,0.488390971
4.3656404e-08,0.491085617
4.3966024e-08,0.49244456
4.4280067e-08,0.492542889
4.4598629e-08,0.493509215
4.4921807e-08,0.497471099
4.5249703e-08,0.501239332
4.5582422e-08,0.504654278
4.5920069e-08,0.509139186
4.6262757e-08,0.51323753
4.6610597e-08,0.515837381
4.6963707e-08,0.519880731
4.7322209e-08,0.524786095
4.7686226e-08,0.528347107
4.8055887e-08,0.532107442
4.8431323e-08,0.536417544
4.8812672e-08,0.541485997
4.9200074e-08,0.548503562
4.9593675e-08,0.554348811
4.9993624e-08,0.559252379
5.0400076e-08,0.565162195
5.0813192e-08,0.568990699
5.1233135e-08,0.574419134
5.1660078e-08,0.579265088
5.2094196e-08,0.582877889
5.2535673e-08,0.58646844
5.2984695e-08,0.589757469
5.344146e-08,0.59105466
5.3906168e-08,0.586551489
5.437903e-08,0.578646602
5.486026e-08,0.568726782
5.5350084e-08,0.555182871
5.5848733e-08,0.537123766
5.6356449e-08,0.510984873
5.687348e-08,0.490474033
5.7400087e-08,0.479116914
5.7936536e-08,0.458121418
5.8483107e-08,0.463451759
5.9040089e-08,0.447722513
5.9607782e-08,0.455342139
6.0186499e-08,0.471425905
6.0776562e-08,0.485115832
6.1378311e-08,0.493804792
6.1992094e-08,0.498265203
6.2618276e-08,0.497729072
6.3257238e-08,0.506123764
6.3909375e-08,0.519125279
6.4575098e-08,0.534677112
6.5254835e-08,0.550299926
6.5949036e-08,0.568628733
6.6658165e-08,0.585028763
6.7382711e-08,0.602293284
6.812318e-08,0.619096438
6.8880104e-08,0.635479931
6.9654038e-08,0.655453557
7.0445561e-08,0.678052669
7.125528e-08,0.697565216
7.208383e-08,0.716590193
7.2931875e-08,0.736236139
7.3800112e-08,0.755633875
7.468927e-08,0.769496871
7.5600114e-08,0.784445746
7.6533449e-08,0.812445672
7.7490117e-08,0.839416169
7.8471005e-08,0.865252976
7.9477043e-08,0.886732909
8.0509213e-08,0.906526837
8.1568544e-08,0.922355886
8.2656125e-08,0.940894946
8.37731e-08,0.970857101
8.4920676e-08,0.985909306
8.610013e-08,1.002699549
8.7312808e-08,1.02097684
8.8560134e-08,1.036238828
8.9843614e-08,1.056261169
9.1164844e-08,1.08581851
9.2525513e-08,1.101946413
9.3927415e-08,1.135452604
9.5372452e-08,1.212605892
9.6862646e-08,1.343443209
9.8400149e-08,1.681473227
9.9987248e-08,2.081871706
1.01626383e-07,2.554375266
1.03320156e-07,2.84776234
1.05071345e-07,3.056734227
1.0688292e-07,3.278336041
1.08758059e-07,3.435716492
1.10700167e-07,3.507684294
1.12712898e-07,3.491003626
1.14800174e-07,3.5007246
1.16966215e-07,3.499986042
1.19215565e-07,3.471874137
1.21553125e-07,3.453724543
1.23984187e-07,3.421354567
1.26514477e-07,3.377252672
1.29150195e-07,3.324621093
1.31898072e-07,3.291816094
1.34765421e-07,3.262684996
1.37760208e-07,3.24502588
1.40891122e-07,3.231241782
1.4416766e-07,3.226110768
1.47600223e-07,3.223172207
1.51200229e-07,3.234771684
1.54980234e-07,3.252177914
1.58954086e-07,3.28216011
1.63137089e-07,3.324754329
1.67546199e-07,3.371081124
1.7220026e-07,3.424489172
1.77120268e-07,3.283856562
1.82329687e-07,3.109669193
1.87854829e-07,2.98894561
1.93725293e-07,2.922320602
1.99974496e-07,2.862916245
2.06640312e-07,2.817567588
2.1376584e-07,2.77148488
2.21400335e-07,2.727705996
2.29600347e-07,2.690741533
2.3843113e-07,2.666955193
2.47968375e-07,2.63873644
2.5830039e-07,2.605956638
2.69530842e-07,2.5817649
2.81782244e-07,2.560884613
2.95200446e-07,2.541324458
3.09960469e-07,2.523632303
3.26274177e-07,2.505813241
3.44400521e-07,2.487866556
3.64659375e-07,2.473323675
3.87450586e-07,2.464986815
4.13280625e-07,2.455051934
4.42800669e-07,2.441251728
4.76862259e-07,2.431478974
5.16600781e-07,2.427076431
5.63564488e-07,2.420857286
6.19920937e-07,2.411429037
6.88801041e-07,2.406543164
7.74901171e-07,2.406202402
8.85601339e-07,2.400035416
1.033201562e-06,2.390522955
1.239841874e-06,2.388124787
1.549802343e-06,2.387783491
2.066403124e-06,2.38324149
3.099604686e-06,2.378520549
6.199209372e-06,2.378175771
1e-05,2.377833047
