wavelength,k
2.066e-07,2.774
2.101e-07,2.831
2.138e-07,2.873
2.175e-07,2.866
2.214e-07,2.846
2.254e-07,2.842
2.296e-07,2.854
2.339e-07,2.897
2.384e-07,2.973
2.431e-07,3.073
2.48e-07,3.197
2.53e-07,3.342
2.583e-07,3.509
2.638e-07,3.709
2.695e-07,3.96
2.755e-07,4.297
2.818e-07,4.669
2.883e-07,4.507
2.952e-07,4.009
3.024e-07,3.614
3.1e-07,3.336
3.179e-07,3.137
3.263e-07,2.986
3.351e-07,2.863
3.444e-07,2.759
3.542e-07,2.667
3.647e-07,2.579
3.757e-07,2.469
3.875e-07,2.34
3.999e-07,2.215
4.133e-07,2.145
4.275e-07,2.14
4.428e-07,2.181
4.592e-07,2.24
4.769e-07,2.309
4.959e-07,2.384
5.166e-07,2.455
5.391e-07,2.318
5.636e-07,2.049
5.904e-07,1.634
6.199e-07,0.933
6.525e-07,0.638
6.888e-07,0.5
7.293e-07,0.401
7.749e-07,0.345
8.266e-07,0.298
