wavelength,n
2.066e-16,1.023
2.101e-16,1.108
2.138e-16,1.209
2.175e-16,1.31
2.214e-16,1.36
2.254e-16,1.38
2.296e-16,1.383
2.339e-16,1.371
2.384e-16,1.364
2.431e-16,1.37
2.48e-16,1.394
2.53e-16,1.435
2.583e-16,1.498
2.638e-16,1.586
2.695e-16,1.72
2.755e-16,1.953
2.818e-16,2.516
2.883e-16,3.338
2.952e-16,3.745
3.024e-16,3.869
3.1e-16,3.905
3.179e-16,3.92
3.263e-16,3.936
3.351e-16,3.958
3.444e-16,3.985
3.542e-16,4.02
3.647e-16,4.07
3.757e-16,4.128
3.875e-16,4.157
3.999e-16,4.141
4.133e-16,4.082
4.275e-16,4.037
4.428e-16,4.035
4.592e-16,4.082
4.769e-16,4.18
4.959e-16,4.34
5.166e-16,4.61
5.391e-16,5.062
5.636e-16,5.283
5.904e-16,5.748
6.199e-16,5.588
6.525e-16,5.294
6.888e-16,5.067
7.293e-16,4.897
7.749e-16,4.763
8.266e-16,4.653
