wavelength,k
4.43e-08,0.164
4.51e-08,0.173
4.59e-08,0.183
4.68e-08,0.195
4.77e-08,0.208
4.86e-08,0.223
4.96e-08,0.24
5.06e-08,0.25
5.17e-08,0.259
5.28e-08,0.268
5.39e-08,0.279
5.51e-08,0.297
5.64e-08,0.319
5.77e-08,0.34
5.9e-08,0.366
6.05e-08,0.392
6.2e-08,0.416
6.36e-08,0.44
6.53e-08,0.464
6.7e-08,0.492
6.89e-08,0.517
7.08e-08,0.528
7.29e-08,0.533
7.38e-08,0.534
7.51e-08,0.531
7.75e-08,0.524
8e-08,0.51
8.27e-08,0.5
8.55e-08,0.499
8.86e-08,0.468
9.18e-08,0.38
9.3e-08,0.36
9.54e-08,0.339
9.92e-08,0.318
1.033e-07,0.291
1.078e-07,0.251
1.1e-07,0.244
1.127e-07,0.239
1.14e-07,0.239
1.181e-07,0.244
1.21e-07,0.247
1.24e-07,0.224
1.272e-07,0.195
1.295e-07,0.174
1.305e-07,0.172
1.319e-07,0.18
1.333e-07,0.194
1.348e-07,0.213
1.362e-07,0.243
1.37e-07,0.271
1.378e-07,0.289
1.387e-07,0.334
1.393e-07,0.344
1.409e-07,0.382
1.425e-07,0.401
1.435e-07,0.4065
1.442e-07,0.405
1.45e-07,0.389
1.459e-07,0.377
1.468e-07,0.345
1.476e-07,0.332
1.48e-07,0.315
1.485e-07,0.298
1.494e-07,0.274
1.512e-07,0.228
1.531e-07,0.198
1.54e-07,0.172
1.55e-07,0.156
1.569e-07,0.11
1.58e-07,0.083
1.589e-07,0.058
1.61e-07,0.022
1.625e-07,0.01
1.648e-07,0.003
1.669e-07,0.001
1.692e-07,0.0003
1.713e-07,0.00011
1.737e-07,3e-05
1.757e-07,1e-05
1.779e-07,3e-06
1.802e-07,1e-06
1.809e-07,7e-07
1.821e-07,4e-07
1.833e-07,2e-07
1.843e-07,1e-07
1.85e-07,6.377e-08
1.86e-07,3.75e-08
1.87e-07,2.8e-08
1.88e-07,2.4e-08
1.89e-07,2.2e-08
1.9e-07,1.9e-08
1.91e-07,1.75e-08
1.93e-07,1.64e-08
1.95e-07,1.59e-08
2.1e-07,1.325e-08
2.5e-07,8.623e-09
3e-07,5.504e-09
3.5e-07,3.765e-09
4e-07,2.71e-09
4.1e-07,2.51e-09
4.2e-07,2.26e-09
4.3e-07,2.08e-09
4.4e-07,1.91e-09
4.5e-07,1.54e-09
4.6e-07,1.53e-09
4.7e-07,1.55e-09
4.8e-07,1.64e-09
4.9e-07,1.78e-09
5e-07,1.91e-09
5.1e-07,2.14e-09
5.2e-07,2.26e-09
5.3e-07,2.54e-09
5.4e-07,2.93e-09
5.5e-07,3.11e-09
5.6e-07,3.29e-09
5.7e-07,3.52e-09
5.8e-07,4.04e-09
5.9e-07,4.88e-09
6e-07,5.73e-09
6.1e-07,6.89e-09
6.2e-07,8.58e-09
6.3e-07,1.04e-08
6.4e-07,1.22e-08
6.5e-07,1.43e-08
6.6e-07,1.66e-08
6.7e-07,1.89e-08
6.8e-07,2.09e-08
6.9e-07,2.4e-08
7e-07,2.9e-08
7.1e-07,3.44e-08
7.2e-07,4.03e-08
7.3e-07,4.3e-08
7.4e-07,4.92e-08
7.5e-07,5.87e-08
7.6e-07,7.08e-08
7.7e-07,8.58e-08
7.8e-07,1.02e-07
7.9e-07,1.18e-07
8e-07,1.34e-07
8.1e-07,1.4e-07
8.2e-07,1.43e-07
8.3e-07,1.45e-07
8.4e-07,1.51e-07
8.5e-07,1.83e-07
8.6e-07,2.15e-07
